,raw material 1,raw material 2,raw material 3,temperature,time
86,0.42,0.13,0.45,47,120
87,0.24,0.29,0.46,78,50
88,0.41000000000000003,0.21,0.38,55,50
89,0.49,0.05,0.46,73,110
90,0.17,0.45,0.38,100,100
91,0.17,0.2,0.63,41,80
92,0.32,0.32,0.37,95,90
93,0.51,0.22,0.27,44,10
94,0.49,0.09,0.42,76,80
95,0.5700000000000001,0.22,0.2,102,60
96,0.5,0.23,0.27,89,80
97,0.16,0.43,0.41000000000000003,72,110
98,0.28,0.41000000000000003,0.31,82,110
99,0.24,0.43,0.33,45,10
100,0.48,0.26,0.25,90,90
101,0.25,0.11,0.64,98,120
102,0.08,0.08,0.84,46,110
103,0.36,0.03,0.6,83,120
104,0.39,0.58,0.03,58,120
105,0.26,0.28,0.46,96,100
106,0.34,0.19,0.47000000000000003,49,120
107,0.63,0.25,0.12,109,30
108,0.3,0.52,0.18,52,10
109,0.61,0.1,0.29,48,110
110,0.16,0.27,0.5700000000000001,78,50
111,0.51,0.08,0.41000000000000003,75,70
112,0.48,0.21,0.3,64,90
113,0.26,0.52,0.21,84,60
114,0.6,0.05,0.35000000000000003,77,80
115,0.43,0.22,0.35000000000000003,105,90
116,0.55,0.4,0.05,70,30
117,0.28,0.2,0.52,71,80
118,0.4,0.27,0.33,95,60
119,0.25,0.26,0.49,60,100
120,0.67,0.08,0.25,92,130
121,0.54,0.32,0.14,64,30
122,0.7000000000000001,0.12,0.19,105,70
123,0.36,0.08,0.5700000000000001,73,70
124,0.39,0.29,0.32,67,100
125,0.74,0.22,0.04,76,30
126,0.33,0.34,0.34,92,30
127,0.58,0.17,0.25,107,40
128,0.11,0.24,0.65,74,80
129,0.04,0.21,0.74,47,110
130,0.45,0.47000000000000003,0.08,69,130
131,0.32,0.5700000000000001,0.11,65,40
132,0.6,0.23,0.17,68,10
133,0.91,0.06,0.04,98,10
134,0.63,0.2,0.17,106,100
135,0.6,0.25,0.15,53,80
136,0.53,0.07,0.4,52,130
137,0.27,0.36,0.37,100,100
138,0.52,0.2,0.27,65,20
139,0.49,0.28,0.23,85,130
140,0.76,0.17,0.06,60,90
141,0.54,0.13,0.33,93,60
142,0.44,0.24,0.32,55,60
143,0.29,0.23,0.49,83,70
144,0.13,0.25,0.62,62,100
145,0.64,0.36,0.0,69,70
146,0.31,0.16,0.53,68,100
147,0.54,0.46,0.0,59,80
148,0.53,0.34,0.13,81,110
149,0.28,0.15,0.58,104,40
150,0.64,0.3,0.06,40,30
151,0.62,0.16,0.22,78,130
152,0.43,0.12,0.45,77,90
153,0.41000000000000003,0.22,0.36,58,20
154,0.78,0.19,0.04,106,60
155,0.41000000000000003,0.5,0.09,67,20
156,0.52,0.29,0.19,63,30
157,0.29,0.18,0.54,47,100
158,0.72,0.15,0.13,85,100
159,0.13,0.13,0.74,92,10
160,0.6,0.33,0.07,77,110
161,0.45,0.09,0.46,64,30
162,0.28,0.16,0.56,59,40
163,0.49,0.16,0.35000000000000003,101,100
164,0.56,0.08,0.36,67,90
165,0.24,0.29,0.46,104,20
166,0.71,0.18,0.11,86,60
167,0.42,0.36,0.22,106,80
168,0.15,0.5700000000000001,0.28,109,30
169,0.42,0.19,0.39,96,70
170,0.36,0.25,0.39,81,110
171,0.4,0.04,0.56,106,50
172,0.33,0.31,0.36,103,60
173,0.29,0.3,0.41000000000000003,71,30
174,0.27,0.22,0.52,47,30
175,0.81,0.18,0.01,79,100
176,0.45,0.25,0.3,57,70
177,0.6900000000000001,0.07,0.24,89,20
178,0.72,0.19,0.09,54,80
179,0.87,0.11,0.02,81,50
180,0.31,0.02,0.68,66,90
181,0.66,0.21,0.14,73,10
182,0.2,0.05,0.75,69,130
183,0.1,0.34,0.56,101,120
184,0.35000000000000003,0.07,0.5700000000000001,63,50
185,0.35000000000000003,0.54,0.1,97,40
186,0.36,0.29,0.34,104,60
187,0.91,0.01,0.07,42,20
188,0.65,0.16,0.19,103,30
189,0.14,0.45,0.41000000000000003,68,110
190,0.61,0.18,0.2,87,70
191,0.28,0.43,0.29,53,130
192,0.37,0.27,0.36,91,60
193,0.71,0.18,0.11,52,20
194,0.56,0.22,0.22,106,20
195,0.34,0.31,0.36,81,100
196,0.33,0.13,0.54,71,20
197,0.35000000000000003,0.31,0.34,94,40
198,0.55,0.3,0.15,68,90
199,0.56,0.3,0.14,87,80
201,0.74,0.01,0.24,101,80
202,0.14,0.41000000000000003,0.44,104,40
203,0.49,0.38,0.14,94,50
204,0.48,0.13,0.39,98,110
205,0.55,0.31,0.14,93,40
206,0.27,0.4,0.33,100,60
207,0.39,0.36,0.25,107,60
208,0.05,0.01,0.9400000000000001,91,110
209,0.4,0.23,0.38,104,120
210,0.26,0.13,0.6,81,60
211,0.26,0.4,0.34,71,70
212,0.42,0.1,0.48,99,30
213,0.25,0.28,0.47000000000000003,45,100
214,0.35000000000000003,0.13,0.52,93,20
215,0.32,0.09,0.59,40,10
216,0.12,0.44,0.44,76,10
217,0.15,0.32,0.53,101,30
218,0.71,0.07,0.22,50,50
219,0.4,0.02,0.58,62,70
220,0.65,0.04,0.31,90,40
221,0.49,0.11,0.39,58,60
222,0.65,0.23,0.13,49,70
223,0.49,0.05,0.46,107,50
224,0.23,0.56,0.21,91,60
225,0.1,0.1,0.79,80,20
226,0.18,0.09,0.74,96,80
227,0.38,0.33,0.29,61,90
228,0.36,0.34,0.3,41,10
229,0.5,0.27,0.23,59,10
230,0.03,0.53,0.44,69,130
231,0.68,0.16,0.16,82,70
232,0.78,0.07,0.15,64,100
233,0.38,0.52,0.1,64,10
234,0.31,0.32,0.37,65,100
235,0.63,0.24,0.14,81,110
236,0.43,0.18,0.38,60,70
237,0.38,0.06,0.56,95,80
238,0.23,0.28,0.5,86,50
239,0.28,0.18,0.53,63,70
240,0.11,0.18,0.71,66,80
241,0.39,0.28,0.33,90,90
242,0.5700000000000001,0.05,0.39,100,30
243,0.61,0.04,0.35000000000000003,91,60
244,0.38,0.37,0.25,56,60
245,0.47000000000000003,0.1,0.43,62,50
246,0.47000000000000003,0.27,0.26,84,100
247,0.72,0.11,0.17,53,60
248,0.52,0.26,0.22,53,120
249,0.27,0.33,0.41000000000000003,49,80
250,0.46,0.09,0.45,55,120
251,0.49,0.23,0.29,61,40
252,0.68,0.21,0.11,47,90
253,0.34,0.22,0.44,109,10
254,0.31,0.55,0.14,51,30
255,0.54,0.01,0.45,45,110
256,0.6,0.19,0.22,110,30
257,0.33,0.23,0.44,101,10
258,0.17,0.23,0.6,52,100
259,0.52,0.12,0.36,93,130
260,0.48,0.36,0.16,58,30
261,0.36,0.04,0.6,53,80
262,0.64,0.08,0.29,79,120
263,0.54,0.35000000000000003,0.11,44,10
264,0.31,0.51,0.18,54,10
265,0.36,0.32,0.33,72,70
266,0.47000000000000003,0.12,0.41000000000000003,103,30
267,0.4,0.26,0.34,104,70
268,0.06,0.3,0.64,46,90
269,0.42,0.25,0.32,102,50
270,0.44,0.25,0.31,107,70
271,0.5,0.14,0.36,58,90
272,0.65,0.25,0.1,89,120
273,0.73,0.02,0.25,41,120
274,0.55,0.16,0.29,60,50
275,0.13,0.1,0.76,87,60
276,0.66,0.15,0.19,88,130
277,0.07,0.02,0.91,62,70
278,0.45,0.02,0.53,71,90
279,0.4,0.23,0.37,99,10
280,0.6,0.24,0.16,72,60
281,0.4,0.19,0.41000000000000003,103,50
282,0.44,0.36,0.2,70,60
283,0.4,0.19,0.4,86,100
284,0.34,0.34,0.32,80,20
285,0.18,0.01,0.81,61,30
286,0.61,0.26,0.14,59,80
287,0.92,0.03,0.04,87,130
288,0.5700000000000001,0.37,0.06,66,40
289,0.23,0.41000000000000003,0.35000000000000003,76,120
290,0.19,0.03,0.78,101,90
291,0.46,0.1,0.44,101,80
292,0.21,0.28,0.51,43,30
293,0.46,0.27,0.27,65,40
295,0.5,0.31,0.18,44,110
296,0.63,0.32,0.05,83,100
297,0.25,0.08,0.67,110,90
298,0.43,0.2,0.37,62,50
299,0.44,0.46,0.11,86,110
300,0.03,0.11,0.87,82,30
301,0.37,0.35000000000000003,0.28,65,20
302,0.6,0.34,0.06,92,100
303,0.42,0.52,0.06,44,20
304,0.45,0.21,0.34,64,90
305,0.41000000000000003,0.16,0.43,99,80
306,0.48,0.02,0.5,46,100
307,0.42,0.39,0.19,96,100
308,0.41000000000000003,0.13,0.46,94,30
309,0.4,0.19,0.41000000000000003,91,50
310,0.18,0.34,0.49,52,70
311,0.5,0.15,0.35000000000000003,44,100
312,0.11,0.51,0.38,73,90
313,0.17,0.02,0.81,85,70
314,0.04,0.14,0.8200000000000001,98,60
315,0.98,0.0,0.02,85,10
316,0.27,0.22,0.51,56,100
317,0.16,0.21,0.64,68,90
318,0.46,0.18,0.36,60,70
319,0.39,0.31,0.3,109,120
320,0.2,0.55,0.25,84,40
321,0.6,0.07,0.33,74,90
322,0.15,0.27,0.58,72,100
323,0.36,0.12,0.52,74,110
324,0.38,0.37,0.25,95,50
325,0.7000000000000001,0.17,0.13,105,130
326,0.25,0.37,0.37,97,90
327,0.37,0.37,0.27,78,20
328,0.33,0.17,0.5,70,110
329,0.36,0.24,0.4,88,110
330,0.47000000000000003,0.03,0.5,79,110
331,0.63,0.05,0.31,40,110
332,0.47000000000000003,0.26,0.27,107,110
333,0.7000000000000001,0.18,0.12,71,100
334,0.3,0.12,0.59,91,40
335,0.13,0.34,0.53,80,60
336,0.37,0.4,0.23,77,90
337,0.37,0.46,0.17,64,20
338,0.54,0.24,0.22,79,60
339,0.58,0.03,0.39,91,80
340,0.38,0.2,0.43,81,130
341,0.43,0.38,0.19,44,80
342,0.23,0.25,0.52,96,50
343,0.46,0.23,0.31,48,120
344,0.29,0.25,0.46,62,120
345,0.54,0.02,0.44,46,30
346,0.21,0.27,0.52,59,20
347,0.26,0.41000000000000003,0.33,58,100
348,0.38,0.24,0.38,91,80
349,0.25,0.39,0.36,44,20
350,0.41000000000000003,0.2,0.39,47,70
351,0.55,0.25,0.2,69,10
352,0.14,0.47000000000000003,0.39,79,10
353,0.38,0.17,0.45,110,70
354,0.32,0.22,0.45,99,120
355,0.41000000000000003,0.17,0.42,47,70
356,0.61,0.25,0.14,90,10
357,0.79,0.15,0.06,91,30
358,0.47000000000000003,0.1,0.43,103,80
359,0.58,0.13,0.29,90,80
360,0.65,0.19,0.16,41,20
361,0.43,0.43,0.14,90,20
362,0.15,0.27,0.58,59,40
363,0.33,0.25,0.41000000000000003,81,30
364,0.26,0.24,0.51,75,20
365,0.46,0.48,0.06,54,90
366,0.63,0.36,0.01,99,50
367,0.68,0.06,0.26,80,70
368,0.24,0.12,0.65,66,130
369,0.43,0.19,0.38,78,20
370,0.29,0.32,0.39,57,20
371,0.42,0.16,0.43,62,10
372,0.27,0.36,0.37,79,120
373,0.43,0.15,0.42,98,100
374,0.51,0.3,0.19,61,30
375,0.34,0.13,0.53,78,100
376,0.32,0.17,0.5,106,80
377,0.28,0.26,0.47000000000000003,70,30
378,0.68,0.27,0.04,88,120
379,0.14,0.41000000000000003,0.45,85,90
380,0.76,0.12,0.12,100,60
381,0.24,0.04,0.72,72,40
382,0.6900000000000001,0.3,0.01,73,30
383,0.47000000000000003,0.19,0.34,79,100
384,0.22,0.29,0.48,63,130
385,0.21,0.06,0.74,42,30
386,0.51,0.29,0.2,58,50
387,0.7000000000000001,0.08,0.23,96,100
388,0.4,0.32,0.28,94,50
389,0.2,0.18,0.62,85,90
390,0.4,0.11,0.48,56,50
391,0.45,0.09,0.46,107,110
392,0.18,0.32,0.5,108,20
393,0.5700000000000001,0.28,0.15,80,50
394,0.1,0.07,0.8300000000000001,103,20
395,0.02,0.47000000000000003,0.51,70,20
396,0.46,0.09,0.44,56,40
397,0.47000000000000003,0.47000000000000003,0.06,75,120
398,0.5700000000000001,0.41000000000000003,0.01,51,110
399,0.42,0.3,0.28,52,10
400,0.72,0.21,0.07,71,90
401,0.44,0.31,0.24,95,80
402,0.25,0.29,0.45,96,100
403,0.22,0.28,0.5,61,70
404,0.52,0.22,0.26,68,90
405,0.39,0.4,0.21,57,60
406,0.21,0.18,0.61,109,40
407,0.41000000000000003,0.16,0.43,102,40
408,0.24,0.04,0.72,51,30
409,0.73,0.15,0.11,94,80
410,0.42,0.26,0.32,41,120
411,0.15,0.27,0.59,65,20
412,0.49,0.06,0.45,80,130
413,0.41000000000000003,0.34,0.25,62,80
414,0.02,0.28,0.7000000000000001,98,20
415,0.07,0.41000000000000003,0.51,52,120
416,0.41000000000000003,0.5700000000000001,0.02,48,40
417,0.44,0.3,0.27,44,20
418,0.59,0.33,0.08,60,50
419,0.37,0.2,0.43,76,60
420,0.36,0.24,0.4,72,50
421,0.64,0.08,0.28,99,60
422,0.38,0.03,0.59,92,40
423,0.3,0.3,0.4,94,110
424,0.41000000000000003,0.18,0.41000000000000003,74,50
425,0.11,0.52,0.37,102,50
426,0.47000000000000003,0.27,0.26,63,50
427,0.24,0.27,0.48,66,40
428,0.4,0.05,0.56,42,20
429,0.43,0.33,0.25,83,60
430,0.32,0.06,0.62,69,70
431,0.41000000000000003,0.23,0.36,55,30
432,0.29,0.5,0.21,51,70
433,0.16,0.37,0.47000000000000003,69,120
434,0.34,0.05,0.6,90,20
435,0.48,0.28,0.24,79,40
436,0.63,0.03,0.34,106,10
437,0.31,0.42,0.27,59,40
438,0.27,0.15,0.58,51,10
439,0.22,0.19,0.59,85,10
440,0.25,0.48,0.27,76,120
441,0.22,0.18,0.59,68,10
442,0.51,0.29,0.2,80,30
443,0.16,0.3,0.54,92,50
444,0.46,0.19,0.34,47,70
445,0.23,0.41000000000000003,0.36,74,40
446,0.0,0.48,0.52,61,120
447,0.53,0.37,0.1,94,20
448,0.27,0.27,0.46,79,90
449,0.38,0.11,0.51,67,130
450,0.54,0.05,0.41000000000000003,44,80
451,0.6900000000000001,0.19,0.11,89,120
452,0.25,0.07,0.67,109,110
453,0.3,0.07,0.63,52,120
454,0.28,0.14,0.58,44,80
455,0.32,0.29,0.39,72,70
456,0.42,0.25,0.33,74,50
457,0.07,0.26,0.67,97,100
458,0.03,0.32,0.65,62,110
459,0.9,0.07,0.03,102,10
460,0.29,0.39,0.33,66,50
461,0.61,0.24,0.15,83,120
462,0.76,0.14,0.1,50,20
463,0.2,0.39,0.4,67,100
464,0.58,0.05,0.37,55,100
465,0.65,0.06,0.3,100,50
466,0.39,0.18,0.43,74,100
467,0.42,0.15,0.43,51,80
468,0.46,0.17,0.37,41,130
469,0.34,0.21,0.46,88,60
470,0.11,0.28,0.61,72,20
471,0.72,0.22,0.06,85,60
472,0.05,0.33,0.62,90,130
473,0.61,0.22,0.17,67,80
474,0.03,0.25,0.71,41,50
475,0.67,0.06,0.27,52,60
476,0.62,0.18,0.2,104,50
477,0.6,0.04,0.35000000000000003,77,100
478,0.87,0.12,0.01,44,30
479,0.26,0.3,0.44,106,80
480,0.61,0.21,0.18,109,10
481,0.21,0.32,0.47000000000000003,71,30
482,0.81,0.04,0.15,90,70
483,0.05,0.45,0.51,93,80
484,0.54,0.17,0.29,45,130
485,0.28,0.1,0.63,67,110
486,0.37,0.41000000000000003,0.22,86,70
487,0.12,0.22,0.65,72,70
488,0.34,0.41000000000000003,0.25,89,90
489,0.4,0.15,0.46,78,110
490,0.31,0.27,0.42,91,60
491,0.26,0.32,0.42,94,10
492,0.55,0.15,0.3,72,30
493,0.22,0.1,0.68,70,20
494,0.42,0.14,0.44,40,90
495,0.43,0.11,0.46,76,120
496,0.12,0.05,0.8300000000000001,80,80
497,0.6,0.04,0.36,41,40
498,0.2,0.28,0.53,107,90
499,0.07,0.33,0.6,81,50
500,0.16,0.11,0.73,98,70
501,0.38,0.18,0.44,95,20
502,0.67,0.07,0.25,53,90
503,0.29,0.33,0.38,60,30
504,0.66,0.15,0.19,80,90
505,0.56,0.01,0.43,45,80
506,0.56,0.12,0.32,110,10
507,0.34,0.36,0.31,60,130
508,0.53,0.28,0.19,100,80
509,0.24,0.23,0.53,103,50
510,0.27,0.13,0.61,72,60
511,0.44,0.25,0.31,109,50
512,0.64,0.27,0.09,98,30
513,0.15,0.37,0.48,96,90
514,0.19,0.18,0.64,40,120
515,0.71,0.13,0.16,85,70
516,0.39,0.04,0.58,52,20
517,0.54,0.35000000000000003,0.11,73,70
518,0.38,0.16,0.46,41,60
519,0.4,0.4,0.2,44,20
520,0.76,0.04,0.2,78,90
521,0.5700000000000001,0.34,0.09,51,80
522,0.46,0.26,0.28,48,70
523,0.79,0.13,0.08,70,90
524,0.54,0.29,0.18,90,80
525,0.34,0.36,0.3,60,90
526,0.34,0.01,0.65,96,90
527,0.42,0.1,0.47000000000000003,53,30
528,0.26,0.53,0.2,107,10
529,0.04,0.36,0.6,95,10
530,0.23,0.29,0.47000000000000003,79,120
531,0.5,0.01,0.49,65,110
532,0.13,0.29,0.58,45,70
533,0.54,0.08,0.38,60,90
534,0.4,0.18,0.42,102,110
535,0.18,0.3,0.52,108,50
536,0.63,0.11,0.26,88,30
537,0.23,0.13,0.64,79,120
538,0.31,0.14,0.54,48,50
539,0.5,0.33,0.17,54,120
540,0.41000000000000003,0.15,0.45,82,130
541,0.45,0.19,0.36,106,70
542,0.52,0.23,0.25,68,100
543,0.28,0.17,0.55,55,10
544,0.49,0.39,0.12,58,60
545,0.29,0.38,0.33,76,80
546,0.34,0.29,0.37,82,40
547,0.1,0.37,0.53,63,70
548,0.84,0.13,0.03,91,110
549,0.45,0.35000000000000003,0.2,70,90
550,0.45,0.28,0.26,65,60
551,0.1,0.47000000000000003,0.43,52,70
552,0.41000000000000003,0.27,0.32,81,60
553,0.19,0.43,0.38,81,110
554,0.34,0.32,0.34,108,30
555,0.61,0.03,0.35000000000000003,49,50
556,0.59,0.32,0.09,61,100
557,0.75,0.23,0.03,104,40
558,0.53,0.19,0.29,91,40
559,0.41000000000000003,0.35000000000000003,0.24,75,90
560,0.35000000000000003,0.2,0.46,109,30
561,0.1,0.37,0.53,79,10
562,0.58,0.2,0.22,55,120
563,0.58,0.03,0.39,51,120
564,0.54,0.36,0.11,44,40
565,0.4,0.01,0.59,92,100
566,0.56,0.28,0.16,105,110
567,0.42,0.18,0.4,63,90
568,0.31,0.21,0.47000000000000003,107,70
569,0.34,0.3,0.36,56,100
570,0.39,0.39,0.22,60,130
571,0.66,0.08,0.26,78,70
572,0.36,0.06,0.58,51,120
573,0.48,0.12,0.39,84,50
574,0.2,0.28,0.52,101,10
575,0.39,0.29,0.32,57,130
576,0.27,0.31,0.42,107,40
577,0.38,0.39,0.22,63,50
578,0.4,0.37,0.24,59,60
579,0.56,0.01,0.42,80,40
580,0.77,0.22,0.01,52,100
581,0.62,0.11,0.27,87,120
582,0.92,0.05,0.03,97,110
583,0.07,0.22,0.71,95,90
584,0.53,0.37,0.1,109,110
585,0.47000000000000003,0.09,0.44,67,60
586,0.43,0.12,0.45,108,60
587,0.56,0.08,0.35000000000000003,64,60
588,0.21,0.34,0.45,60,20
589,0.33,0.31,0.36,73,30
590,0.3,0.27,0.43,109,40
591,0.5,0.24,0.26,103,50
592,0.63,0.28,0.1,50,20
593,0.36,0.21,0.43,92,90
594,0.21,0.31,0.49,96,120
595,0.7000000000000001,0.14,0.16,110,90
596,0.28,0.42,0.3,73,90
597,0.37,0.08,0.55,91,100
598,0.61,0.22,0.17,52,60
599,0.13,0.37,0.5,98,50
600,0.54,0.19,0.27,75,90
601,0.25,0.15,0.59,91,120
602,0.43,0.04,0.53,57,80
603,0.21,0.25,0.54,88,20
604,0.04,0.44,0.52,49,30
605,0.33,0.09,0.5700000000000001,64,130
606,0.63,0.31,0.06,101,70
607,0.52,0.02,0.47000000000000003,81,60
608,0.27,0.23,0.5,97,10
609,0.54,0.13,0.33,60,130
610,0.38,0.2,0.42,99,90
611,0.4,0.24,0.37,71,120
612,0.26,0.3,0.44,49,110
613,0.67,0.08,0.24,87,120
614,0.11,0.39,0.5,67,80
615,0.26,0.28,0.46,53,70
616,0.5700000000000001,0.16,0.26,58,130
617,0.32,0.26,0.42,78,40
618,0.15,0.18,0.66,54,40
619,0.2,0.58,0.23,101,80
620,0.51,0.44,0.05,85,30
621,0.62,0.12,0.26,102,70
622,0.33,0.24,0.43,54,100
623,0.64,0.26,0.1,62,40
624,0.24,0.27,0.49,73,100
625,0.8200000000000001,0.11,0.07,41,50
626,0.25,0.38,0.37,61,110
627,0.52,0.08,0.41000000000000003,105,70
628,0.41000000000000003,0.34,0.25,74,130
629,0.66,0.16,0.18,66,40
630,0.34,0.29,0.37,48,30
631,0.49,0.08,0.43,74,60
632,0.12,0.59,0.29,99,60
633,0.33,0.31,0.37,54,30
634,0.32,0.25,0.42,49,100
635,0.4,0.12,0.48,58,60
636,0.5700000000000001,0.25,0.19,51,50
637,0.63,0.27,0.1,102,10
638,0.51,0.48,0.01,103,100
639,0.65,0.02,0.33,69,90
640,0.4,0.21,0.4,76,70
641,0.42,0.25,0.33,50,120
642,0.15,0.29,0.56,91,100
643,0.88,0.0,0.12,60,90
644,0.44,0.51,0.06,67,30
645,0.9,0.0,0.1,107,20
646,0.39,0.17,0.44,70,90
647,0.08,0.1,0.8200000000000001,99,20
648,0.84,0.05,0.11,73,60
649,0.37,0.22,0.42,107,90
650,0.71,0.23,0.05,71,70
651,0.74,0.23,0.02,69,120
652,0.47000000000000003,0.31,0.22,66,90
653,0.53,0.2,0.27,65,30
654,0.43,0.21,0.35000000000000003,85,80
655,0.67,0.03,0.3,51,70
656,0.73,0.11,0.17,43,20
657,0.37,0.21,0.41000000000000003,93,100
658,0.59,0.34,0.07,43,40
659,0.55,0.06,0.39,76,110
660,0.68,0.15,0.17,100,80
661,0.46,0.23,0.32,60,10
662,0.4,0.26,0.33,95,50
663,0.42,0.28,0.3,100,110
664,0.63,0.09,0.28,95,60
665,0.49,0.15,0.36,109,40
666,0.32,0.2,0.47000000000000003,88,90
667,0.33,0.45,0.21,87,30
668,0.56,0.09,0.35000000000000003,47,100
669,0.81,0.07,0.12,79,50
670,0.59,0.32,0.09,51,20
671,0.47000000000000003,0.17,0.36,50,100
672,0.32,0.45,0.24,97,10
673,0.47000000000000003,0.3,0.24,41,100
674,0.45,0.2,0.35000000000000003,67,30
675,0.25,0.36,0.4,89,90
676,0.45,0.23,0.32,54,120
677,0.34,0.45,0.22,43,70
678,0.45,0.13,0.41000000000000003,47,10
679,0.15,0.43,0.43,68,50
680,0.42,0.29,0.29,46,40
681,0.16,0.12,0.72,58,80
682,0.56,0.08,0.35000000000000003,93,10
683,0.41000000000000003,0.34,0.25,99,90
684,0.52,0.25,0.22,70,50
685,0.29,0.31,0.4,42,30
686,0.48,0.08,0.44,93,90
687,0.62,0.27,0.1,75,90
688,0.8,0.09,0.1,92,80
689,0.05,0.5700000000000001,0.37,45,90
690,0.37,0.27,0.36,94,40
692,0.64,0.05,0.31,60,50
693,0.42,0.44,0.13,87,60
694,0.73,0.18,0.09,76,40
695,0.42,0.25,0.32,88,10
696,0.55,0.26,0.19,86,30
697,0.6,0.21,0.19,94,60
698,0.6900000000000001,0.14,0.17,109,10
699,0.45,0.17,0.38,94,120
700,0.21,0.26,0.53,89,90
701,0.48,0.24,0.28,91,60
702,0.37,0.19,0.45,69,50
703,0.07,0.39,0.55,100,120
704,0.49,0.03,0.48,48,70
705,0.6,0.11,0.29,80,60
706,0.41000000000000003,0.21,0.38,70,60
707,0.39,0.08,0.53,47,110
708,0.43,0.25,0.32,87,90
709,0.28,0.24,0.49,96,80
710,0.66,0.0,0.34,40,100
711,0.6,0.03,0.37,82,80
712,0.23,0.31,0.46,76,40
713,0.42,0.2,0.38,99,20
714,0.39,0.15,0.46,56,40
715,0.43,0.02,0.55,42,60
716,0.6,0.27,0.13,108,110
717,0.45,0.02,0.53,103,80
718,0.37,0.23,0.39,91,40
719,0.26,0.21,0.52,72,20
720,0.29,0.34,0.36,46,100
721,0.61,0.06,0.33,49,40
722,0.45,0.18,0.37,88,80
723,0.01,0.49,0.5,52,90
724,0.39,0.11,0.51,46,50
725,0.28,0.32,0.4,69,10
726,0.32,0.25,0.43,68,70
727,0.23,0.22,0.56,65,20
728,0.04,0.33,0.63,53,110
729,0.25,0.58,0.17,43,30
730,0.39,0.26,0.35000000000000003,51,60
731,0.37,0.58,0.05,104,60
732,0.32,0.02,0.67,74,50
733,0.71,0.25,0.04,88,110
734,0.44,0.47000000000000003,0.1,93,20
735,0.47000000000000003,0.25,0.28,65,60
