,SMILES
26,C#CC1(O)CCC2(C)C(CCC3C2CCC2(C)C(Oc4cc(C(=O)C(Cl)(Cl)Cl)c(O)c(C(C#N)C(C)=O)c4O)CCC32)C1
27,C#CC1(O)CCC2(C)C(CCC3C2CCC2(C)C(Oc4cc(Cc5c(Br)ccc6c5C(=O)C6)c(OCc5c(C)cc(C)cc5C)c(C)c4O)CCC32)C1
28,C#CC1(O)CCC2(C)C(CCC3C2CCC2(C)C(Oc4ccc5cc6ccc(C(C#N)C(C)=O)cc6nc5c4)CCC32)C1
29,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(C(CCCNNc3ccccc3O)C(=O)O)CC21C
30,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(C(c3ccc4c(c3)CCCC4)C3CCCCN3NC(C)(C)C)CC21C
31,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(CC(CC3(C)C=CC(=NNS(O)(O)c4ccc(C)cc4)CC3)OC3CCC3S)CC21C
32,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(N(c3ccc4c(c3)OCO4)c3nnc4n3N=C(c3ccccc3)CS4)CC21C
33,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(N3CC4(CC3Cc3cc5ccccc5oc3=O)SCCS4)CC21C
34,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(OCCC(Nc3nccc(C)n3)Oc3ccccc3C=C)CC21C
35,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(c3c(C4(C5=CCCCC5)CCCCC4)oc4ccc(N5NC(=O)C(N=Nc6ccc(C)cc6)C5=O)cc34)CC21C
36,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3C(c3cc(C(C)=NO)cc(C4C5=C(CCCC5)OC(=O)C4(C)C)c3O)CC21C
37,C#CC1(OC(=O)C(=O)c2ccc(C)c(O)c2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
38,C#CC1(OC(CCC(=O)c2cc3c(cn2)CCCC3)OCc2c(C)ccc3c2CCC2C3CCC3CCCCC32C)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
39,C#CC1(OC(Cc2ccccc2F)C(O)C(O)C(O)C(O)CO)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
40,C#CC1(OC(O)(CCN2C(=O)c3ccccc3N(C)c3ccccc32)c2ccc3ccccc3c2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
41,C#CC1(OCc2ccc(CCC(=C)Cl)c(NCCCCCCCCCCCC)c2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
42,C#CC1(OOC2C(Cc3cnc4ccccc34)OC(C(C)(CC)CC)C2OCc2c3c(oc4c2CCCC4)CCCC3)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
43,C#CC1(OOC2C(SC(C)(C)C)OC(Oc3ccc(Cl)cc3Cl)C(Oc3ccc(S(N)(O)O)cc3)C2OC2CC3C4(C)CCCC3(COC4)C3C(O)CC4C(=C)C(=O)C23C4O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
44,C#CC1(OOC2CC3C(C)(C)CCC(ONC(=S)NS(O)(O)c4ccc(C)cc4)C3(C)C3C(Oc4cc(N(=O)O)cc(N(=O)O)c4)CC45OC(C)(C)OC4C23C(=O)C5=C)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
45,C#CC1(OOc2ccc3c(c2)c(OSC)c(Nc2ccc(N)cc2)n3Oc2cccc(NN=C(C#N)c3nc4ccccc4s3)c2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
46,C#CC1(Oc2c(C)c(C)c(-n3c(C)n(C)c4cc(N(=O)O)ccc43)c(C)c2C=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
47,C#CC1(Oc2cc(-c3cc(C)nc4c(N=Nc5ccc(Cl)cc5)c(N)nn34)c(N(=O)O)cc2-c2c3c(oc4c2CCCC4)CCCC3)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
48,C#CC1(Oc2ccc(N=Nc3ccc(C4(C5=CCCCC5)C(=O)NC(=O)NC4=O)cc3)cc2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
49,C#CC1(Oc2ccc(NN=C3C(=O)N(C4OC5(CCCCC5)OC4=O)N=C3C)cc2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
50,C#CC1(Oc2cnc3sc(-c4ccc5c(c4)OCCO5)nn3c2=N)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
51,C#CC1(Oc2sc3sc(C4CC5C6(C)CCCC5(COC6)C5C(O)CC6C(=C)C(=O)C45C6O)c(N=COC(=O)C4(C)C(C(C)=O)=Nc5ccccc54)c3c2N=COc2nc3ccc(C)cc3s2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
52,C#CCC(=O)C1=C(O)C(c2cc3ccccc3oc2=S)C2CC3C(=C(O)C2(O)C1=O)C(=O)c1c(O)cccc1C3(C)O
53,C#CCC(CC)C(CC)C(=O)C(=CN(O)c1ccccc1)c1ccccc1
54,C#CCC(CCl)C(O)(CCC)CCC
55,C#CCC1(C#N)c2ccccc2CCc2ccccc2C1(C#N)CC(F)(F)F
56,C#CCC1CC(C)OC(Nc2ccccc2N=Cc2ccccc2)C1O
57,C#CCCc1cc(CC2NC(=O)C2(C)C)c(N)cc1N
58,C#CCOC(C#N)(Cc1cc(N(O)=Nc2ccccc2)c(C)cc1N(O)=Nc1ccccc1)C(C)=O
59,C#CCOC1(C#N)CC1(C#N)SC(C)N(O)C(N)=O
60,C#CCOC1(C)CCCC2(C)C3CCC4CC3(CCC12)CC4(OC(O)CO)C1C2=C(CCCC2)OC(=O)C1(C)C
61,C#CCOC1CCC2(CC1)Cc1ccc(Cc3cc(N(=O)O)ccc3O)cc1C2
62,C#CCOC1OC(C(=O)C(C#N)=NNc2ccc(Cl)cc2)C(O)C(O)C1O
63,C#CCOC1OC(C2CCC(C)(C(=NNc3ccc(N(=O)O)cc3N(=O)O)C(=O)O)C2(C)C)C(O)C(N)C1O
64,C#CCOCC(CNCC(=O)O)(CC(=O)N1C(=C(C(C)=O)C(C)=O)SC2=C1C(=O)c1ccccc1C2=O)C(=O)C1CCC2C3C(=O)CC4CCCCC4(C)C3CC(=O)C12C
65,C#CCOCC(OC1CCC2C3CC(O)C4(O)CC(O)CCC4(C)C3CCC12C)C(OC1CCNCC1)C(Oc1ccccc1)C(ON1CCCCCC1)C(Oc1c(Cl)cccc1Cl)SOc1nc(Cl)nc(Cl)n1
66,C#CCON1N=C(C)C(C(Cc2ccc(N)cc2N)c2oc3c(c4c(c5ccccc53)OC3CC(=O)OC43)c(=O)c2[Si](C)(C)C)C1=O
67,C#CCONC(CC(=O)C(C)=NNC(N)=S)C(=O)CC(C)C(=O)C(=O)C1=C2c3ncccc3ON2C(Cl)C(Cl)C1Cl
68,C#CCONc1ccc(N=Nc2cc(C3C(=O)OC(C)(C)OC3=O)c(N=Nc3ccc(NN4CCCCC4)cc3)cc2C)cc1
69,C#CCOc1cc(N)c(Nc2ccc(N)cc2)cc1C1CCC(C)CC1=O
70,C#CCSC1CC(Nc2c(N(=O)O)cc(Cl)cc2N(=O)O)N(c2nnc3ccccc23)C1
71,C#CCc1cc(Cl)c(N)cc1Nc1ccccc1
72,C#CCc1ccc(C=NNC(=O)C(=O)NN=Cc2ccc(OC(C)C#C)cc2)cc1
73,C#CCc1cncc2c(O)c(C(CO)C(=O)O)ccc12
74,C#CCc1nn(NCC(=O)O)c2c1C(c1ccc(F)cc1)C(C#N)=C(N)O2
75,C#NC(CC(=O)Cn1ccnc1)(CC(=O)c1nnnn1)C1N(C)c2ccc(C)cc2C1(C)C
76,C#NC(CCI)C(=O)O
77,C#NC(CSC=CCl)C(N)=O
78,C#NCC1CCc2nc(C)c(C(=O)C(Cl)Cl)c2C1=O
79,C#NCCCCCCNS(O)(O)CCCC
80,C#NCCNC1CCC2C3C(=O)CC4CCCCC4(C)C3CCC12C
81,C#NCc1cc(CNC2C3CCC(C)(C2O)C3(C)C)c(N(=O)O)cc1N(=O)O
82,C#NN(C)C(=S)Oc1cc(=O)nc(=O)n1
83,C#NOC(CN=Cc1cccc(C=NCC(OOCC(C)C)OC(=O)C(C#N)=C2SCCS2)c1)N1C(=O)c2ccccc2C1=O
84,C#Nc1cc(C(C)CC(C)=NNC(N)=O)cc(C2N=NC(C)=C2C)c1C
85,C#Nc1cc(C)nc2nc(Nc3cccc4c(N(=O)O)cccc34)nn12
86,C#Nc1ccc(C(OC2OC(C)C(O)C(N)C2O)C(=O)CC#N)o1
87,C(#CC1(OOc2ccc3cc(Oc4nnc5ccccc45)ccc3c2)Cc2ccccc21)c1ccccc1
88,C(=Nc1ccccc1NOc1cc(-c2ccc3c(c2)CCCC3)cc2ccccc12)c1ccccc1
89,C1=C(c2ccccc2)NCC1c1ccc(Cc2ccc3ccc4ccccc4c3c2)o1
90,C1=c2ccccc2=NC1CC(=NNc1ccccc1)C(CN1CCNCC1)=NNc1ccccc1
91,C=C(Br)CC(CO)C(=O)c1ccc(NN=C(C(C)=O)C(C)=O)cc1
92,C=C(Br)CC1CC(Cc2c(O)c3cccc(C)c3nc2=O)C(OCC(Cl)(Cl)Cl)C(Oc2cccc3c2CC(O)C(O)C3)C1
93,C=C(Br)CCC(CC(C)C)(CC1(C)C=CC(=NNS(O)(O)c2ccc(C)cc2)CC1)C(=O)CC1CCN(C)C1
94,C=C(Br)CCC(CCC(F)(F)F)(CC(=O)OC1CCC2(C)C(CCC3C2CCC2(C)C3CCC2(O)C#Cc2ccccc2)C1)C(=O)Cc1cc(C)c(N(=O)O)cc1N(=O)O
95,C=C(Br)CCC(CCCC)(CC12CCC(C)(O1)C(=O)OC2=O)C(=O)Oc1ccc(Cl)cc1C
96,C=C(Br)CCSn1c(=O)c2c(c3ccccc31)NCC(C)N=C2C
97,C=C(Br)COc1cccc(N(O)=Nc2cccc(Oc3cc(NN=C4C(=O)NN=C4C(F)(F)F)nn3)c2)c1
98,C=C(Br)Cc1c(-c2cc3c(cc2O)CCNC3CC)c(-c2ccc3c(c2)OCCO3)c(Nc2ccccc2Br)c2ccccc12
99,C=C(Br)Cc1c(-c2nnc(S)n2N=Cc2ccc(F)cc2)c(C(=O)C2=C(C)NC(=O)NC2C)c(N2CCN(C)CC2)c(-c2cc3ccccc3c(=O)o2)c1-c1cc2c(cc1O)C(C)N(C)CC2
100,C=C(Br)Cc1c(C)c(C(=O)C2=NC=NC2)nn(-c2cc3ccccc3cn2)c1=N
101,C=C(Br)Cc1c(F)cc2c(=O)c(OC3CC4C5CCC6CCCCC6(C)C5CCC4(C)C3)cn3c2c1OCC3C
102,C=C(Br)Cn1nc(C2NC(=O)NC(C)=C2C(C)=O)sc1=NN=Cc1ccccc1Cl
103,C=C(C)C(=O)C(C)CCCN(c1cc(C)ccc1C)c1cc2c(cc1C)C(C#N)C2
104,C=C(C)C(=O)C(CN(CC(c1ccc(NN=C2C(=O)NC(=O)NC2=O)cc1)C1C(O)CC2CCC1N2C)N=O)NC(=NC#N)NC
105,C=C(C)C(=O)C(NCCCCCCCCCC)c1cccc2c(Br)ccc(N(=O)O)c12
106,C=C(C)C(=O)C(NS(=O)(=O)C(F)(F)F)(C(=O)C(C)(C)C(=O)O)C(C)CC1CCCN1C
107,C=C(C)C(=O)C(O)C(C)NCN(=O)O
108,C=C(C)C(=O)C1C(C#N)=C(C(CC(=NNc2ccccc2)c2cccc3ccccc23)n2ccnc2N(=O)O)C(O)(c2ccccc2NN=C(C(N)=O)c2nc3ccccc3s2)C1c1cc(C)n(C2=CC(C)N=N2)n1
109,C=C(C)C(=O)NCC(SC(=N)N)c1cc2ccccc2cn1
110,C=C(C)C(=O)Nc1cc(Nc2c(Cl)cc(Cl)c(Cl)c2Cl)c(-c2cnc3ccccc3n2)cc1ONC(CC(C)C)C(=O)O
111,C=C(C)C(=O)Nc1ccc(N=Nc2cc(-c3cccn(C)c3)c(N=Nc3ccc(NOC4CC5C(=C)C(=O)C6(C7CC8C(C)(C=O)CCCC8(C(=O)O7)C46)C5O)cc3)cc2C)cc1
112,C=C(C)C(=O)OC1CC2(O)C(=C)C(=O)C3(C(OCCCN)CC4C(C)(C)CCC(OC5N=NC(N)=C5C#N)C4(C)C13)C2OC1C(=O)NC(=O)NC1=O
113,C=C(C)C(=O)Oc1c(Nc2ccccc2C)cc(C2OC3(CCCCC3)OC2=O)cc1-c1c(Cl)cc(Cl)cc1Cl
114,C=C(C)C(=O)c1ccc(N=C(NC(=O)C(C)(C(F)(F)F)C(F)(F)F)NC(C#N)C(N)=S)c(Nc2csc(C(C#N)=NNc3ccc(Cl)cc3Cl)n2)c1
115,C=C(C)C(=O)c1ccnc2ccc(ON)cc12
116,C=C(C)C(=O)c1nn(C2CCC3C4C(=O)CC5CCCCC5(C)C4CCC32C)c(=NC(C)=O)s1
117,C=C(C)C(=O)n1nc(Nc2cc(C)on2)sc1=NC(=O)C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CC(=O)C12C
118,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(-c5ccc(N(=O)O)o5)c(NC5=CC(=O)C=CC5=O)cc4C2C3=O)O1
119,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(-c5ccccc5I)c(-c5cccc(NN=C(C#N)c6nc7ccccc7s6)c5)cc4C2C3=O)O1
120,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(-c5ccccc5N=Cc5ccccc5)c(C(C)C(=O)NO)cc4C2C3=O)O1
121,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(-c5cn(C)c(=O)n(C)c5=O)c(-c5ccc(N(=O)O)o5)cc4C2C3=O)O1
122,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(C5CNC(=O)CO5)c(C5CC6=C7C=CCC=C7N=C6CN5)cc4C2C3=O)O1
123,C=C(C)CC(CC)c1ccccn1
124,C=C(C)CCC(CC(C)C)(CC1OC(C)C(O)C(N)C1O)C(=O)CCS
125,C=C(C)CCCC(C)CCC(=O)C(C#N)=c1sc(=C(C#N)C(=O)C2C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C4C(=O)c5c(O)cccc5C(C)(O)C4CC23)s1
126,C=C(C)CCCC(C)CCC(=O)CCC(CCC(=O)c1ccc(O)c(N(=O)O)c1)c1nc(N)nc(Cl)c1C
127,C=C(C)CCCC(C)CCC(Br)C(=O)Cc1ccc2ccc3ccccc3c2c1
128,C=C(C)CCCC(C)CCCc1cc(CC(Br)C(C)Br)c(N(=O)O)cc1N(=O)O
129,C=C(C)CCCC(C)CCCc1nc(O)n(-n2ccc3c(N)ncnc32)n1
130,C=C(C)CCCC(C)CCOC(C#N)c1cc(Br)cc(Br)c1N
131,C=C(C)CCCC(C)CCOC(COCc1cncn1)C(ONS(O)(O)c1ccccc1C)C(OC(=O)n1ccc(C)n1)C(Oc1nnc(C)c2c(C)onc12)C(N)=O
132,C=C(C)CCCC(C)CCOC1C2CC(OC(C)OC)C3C4(C=O)C(Oc5c(O)c(O)c6c(c5O)C(=O)C(O)=C5C(C)(C)CCCC56C)CCC(C)(C)C4CC(Oc4cc5c(cn4)CCCC5)C13C(=O)C2=C
133,C=C(C)CCCC(C)CCOCC(COOC1CCC2(C)C(CCC3C4CCCC4(C)CCC32)C1)Oc1cc(C)nc2c(N=Nc3ccccc3N(=O)O)c(N)nn12
134,C=C(C)CCCC(C)CCOCCCC(=O)c1ccc(O)cc1O
135,C=C(C)CCCC(C)CCc1cccc(-c2csc(C(C#N)=NNc3ccc4ccccc4c3)n2)c1
136,C=C(C)CCc1c(O)c(Br)c(C(=O)C(N)C(C)C)c(Br)c1O
137,C=C(C)CN(CCc1ccc(NN=C(C#N)c2nc3ccccc3n2C)cc1)c1ccc(N=O)cc1
138,C=C(C)CN1N=C(c2ccc(N(=O)O)cc2)C(C2CC3=CC(=O)CCC3(C)C3CCC4(C)C(CCC45CCC(=O)O5)C23)C1=O
139,C=C(C)COC(C(COCc1ccc(Cl)cc1Cl)OOCCC)C(OOC1CCC2(C)C(CCC3C4=C(CCC32)C(C)(C#Cc2ccccc2)CC4)C1)C(OCN1CCOCC1)C(C(C)CCCO)C1CCC2C3CCC4CC(=O)CCC4(C)C3CC(=O)C21C
140,C=C(C)Cc1c(OC2CCC3C4CCC56OC5C(=O)C=CC6(O)C4CCC23C)c(C2CCC(C)CC2=O)c2ccccc2c1CC(C)CCC(=O)O
141,C=C(C)Cc1ccc2c(c1)CC1(CCC(=O)C(CS)C1)C2=O
142,C=C(C)Cc1cccc(N=C(C)c2c(O)c3ccccc3n(-c3c(C)c4ccccc4n3C)c2=O)c1
143,C=C(C)Cc1nnc(Nc2cccc(C)c2C)s1
144,C=C(C)Cc1sc2sc(-c3cc(Cl)c(N(=O)O)cc3N(=O)O)c(N=C3SCCS3)c2c1N=C1SCCS1
145,C=C(Cl)CC(Br)C1CCN(C)CC1
146,C=C(Cl)CC(CN=Cc1ccc(C=NCC(c2cc3c(cn2)CCCC3)c2nc(Cl)c(Cl)cc2Cl)cc1N(=O)O)OC(N)=O
147,C=C(Cl)CC1C(c2cccc3c(=O)c(=O)c23)C2CC1C(C)(C)C2=C
148,C=C(Cl)CC1SC(=S)N(OC2CCC3C4CCC5CCCCC5(C)C4CCC23C)C1=O
149,C=C(Cl)CCc1ccc(N(C(O)C(C)O)C2CCC3C4C=CC5CCCCC5(C)C4CCC32C)cc1
150,C=C(Cl)CCc1ccc(N(O)=Nc2ccc(Cn3c(=O)c(C(C)=Nc4ccccc4)c(O)c4ccccc43)cc2)cc1
151,C=C(Cl)CN1c2ccccc2CCC1Nc1nn(C(C)=O)c2ncccc12
152,C=C(Cl)CNCCCC(NC1OC(C(=N)OC)=CC(O)C1O)C(=O)O
153,C=C(Cl)CNc1ccc(N(=O)O)cc1NNc1nc2ccccc2s1
154,C=C(Cl)COC(=S)N(C)Cc1cccnc1
155,C=C(Cl)COC1C2CC(Oc3ncco3)C3C45CCCC(C)(COC4O)C5CC(OC(CC(=NO)c4ccccc4)NO)C13C(=O)C2=C
156,C=C(Cl)COc1c(-c2cc(C)c(C#N)c(=O)n2N)c(NC(C)=O)cc2ccccc12
157,C=C(Cl)COc1ccccc1Oc1cc(C)nc2c(N=Nc3cc(Cl)ccc3Cl)c(N)nn12
158,C=C(Cl)CSC(Sc1ccc(NN=C(C#N)c2nc3ccccc3n2C)cc1)=C(C#N)C#N
159,C=C(Cl)Cc1c(Cc2ccc(C)o2)c(C)c(C)c(-c2onc(C)c2C)c1C1(C)CCCC2(C)C3CCC(C(C)C)=CC3=CCC12
160,C=C(Cl)Cc1ccc2c(C(=S)N(C)c3ccc(NNc4ccccc4)cc3)cccc2c1-n1c(=O)ccc2c1nnn2C
161,C=C1C(=O)C23C(C(=O)C(C)(C)C4=CCC5(C)C(CCC6C5CCC5(C)C(Oc7ccc(N8N=N8)cc7)CCC65)C4)CC4C5(C)CCCC4(COC5)C2C(O)CC1C3O
162,C=C1C(=O)C23C(C(=O)CSC(C(C)=O)C(C)=O)CC4C5(C)CCCC4(COC5)C2C(O)CC1C3O
163,C=C1C(=O)C23C(C(Br)C(Br)C(=O)O)CC4C5(C)CCCC4(COC5ONc4ccc(N)cc4)C2C(OOc2c(Cl)cccc2Cl)CC1C3OC(O)CCC
164,C=C1C(=O)C23C(C4C(=O)C5(C)CCC4C5(C)C)CC4C5(C)CCCC4(COC5OOC4CCC5(C)C6CCC7(C)C(=O)CCC7C6C(=O)CC5(C)C4)C2C(Oc2ccccc2C2(C)CCc4oc5ccccc5c4-c4oc(C)cc42)CC1C3Oc1cncn1
165,C=C1C(=O)C23C(C4C5C6(C=CC(O)C5(C)C(=O)O6)C5CCC6(O)CC45CC6=C)CC4C5(C)CCCC4(COC5)C2C(Oc2nnc4c2C(c2ccc(O)cc2)C(C#N)=C(N)O4)CC1C3ON1N=C(C(F)(F)F)C(=NNc2ccc(F)cc2)C1=O
166,C=C1C(=O)C23C(C4CC(=O)CC(=O)C4C#N)CC4C5(C)CCCC4(COC5)C2C(OC2CCC4C5CCC6=CC(O)CCC6(C)C5CCC24C)CC1C3OC(Br)Br
167,C=C1C(=O)C23C(CC(C)OC4CCC5(C)C(=CCC6C7CCC(=O)C7(C)CCC65)C4)CC4C5(C)CCCC4(COC5)C2C(O)CC1C3O
168,C=C1C(=O)C23C(CCCCCCCC)CC4C5(C)CCCC4(COC5OC4(O)CCC5(C)C(CCC6C7CCC(=O)C7(C)CCC65)C4)C2C(OC2C=C(c4ccccc4)OC(c4ccccc4)=C2)CC1C3OC(=O)C1=CN=NC1C
169,C=C1C(=O)C23C(CCCCCOc4nc5ccccc5nc(=O)c4NNc4ccc(Cl)cc4)CC4C5(C)CCCC4(COC5)C2C(O)CC1C3O
170,C=C1C(=O)C23C(NC(=S)NS(O)(O)c4ccccc4)CC4C5(C)CCCC4(COC5)C2C(OC24OC(C)(C)OC2CC2C5CCC6=CC(=O)C=CC6(C)C5(F)C(O)CC24C)CC1C3O
171,C=C1C(=O)C23C(NC(C)CC)CC4C5(C)CCCC4(COC5ON4C(=O)c5ccccc5C4=O)C2C(OOCCC)CC1C3ONCCCBr
172,C=C1C(=O)C23C(NC4CCCCC4)CC4C5(C)CCCC4(COC5)C2C(Oc2csc(C(C#N)=NNc4cc(Cl)ccc4Cl)n2)CC1C3O
173,C=C1C(=O)C23C(NCN4CCCC4)CC4C5(C)CCCC4(COC5)C2C(Oc2ccc4c(C)c(Cl)c(=O)oc4c2)CC1C3O
174,C=C1C(=O)C23C(Nc4ccc(N)cc4)CC4C5(C)CCCC4(COC5On4c(=O)sc5cccc(Cl)c54)C2C(Oc2nnc4n2CCCC4)CC1C3OO[PH](O)(O)O
175,C=C1C(=O)C23C(O)C1CC(O)C2C12CCCC(C)(COC1)C2CC3C(Br)C(Br)CCC(Br)C(Br)CC(=O)NO
176,C=C1C(=O)C23C(O)C1CC(O)C2C12CCCC(C)(COC1)C2CC3N1N=C(C(=O)O)C(Cc2ccc3c(c2)C(=O)C3)C1=O
177,C=C1C(=O)C23C(O)C1CC(OCC(C)=NNc1ccc(N(=O)O)cc1N(=O)O)C2C12CCCC(C)(COC1)C2CC3C1CCN(C)CC1
178,C=C1C(=O)C23C(O)C1CC(OCC(N)CC)C2C12CCCC(C)(COC1)C2CC3C1C=CC(C)=C(C=NNC(N)=O)C1=O
179,C=C1C(=O)C23C(O)C1CC(OCc1coc4ccc(Cl)cc4c1=O)C2C12CCCC(C)(COC1)C2CC3C1CC(=O)c2c(O)cc(O)cc2O1
180,C=C1C(=O)C23C(O)C1CC(OOC1=CC(=O)CC(C)(C)C1)C2C12CCCC(C)(COC1)C2CC3C1OS(O)(O)c2cc(N(=O)O)ccc21
181,C=C1C(=O)C23C(OC(=O)C4=C(O)c5ccccc5S(=O)(=O)N4C)CC4C5(C)CCCC4(C(CC(=NNc4ccccc4)c4ccc6ccccc6c4)OC5)C2C(OC(C)O)CC1C3ON1N=C(C(F)(F)F)C(=NNc2ccc(Br)cc2)C1=O
182,C=C1C(=O)C23C(OC(=O)CC(C)(C)C(=O)O)CC4C5(C)CCCC4(C(O)OC5)C2C(OCCCC(=O)O)CC1C3OCC(=NNc1ccccc1)c1cccc2ccccc12
183,C=C1C(=O)C23C(OC(=O)CC)CC4C(C)(C)CCCC4(Cc4ccc(C)cc4)C2C(OCC2=N(C)c4ccc(C)cc4C2(C)C)CC1C3OCc1nc(C=NNS(O)(O)c2ccc(C)cc2)co1
184,C=C1C(=O)C23C(OC(=O)n4nc(C)cc4C)CC4C5(C)CCCC4(C(ONCN4CCOCC4)OC5)C2C(OCc2cc(N(=O)O)cc(N(=O)O)c2O)CC1C3Oc1ccc(N=Nc2c(N)nn3c(C)cc(C)nc23)cc1
185,C=C1C(=O)C23C(OC(C)=O)CC4C5(C)CCCC4(C(=O)OC5)C2C(OC(C)O)CC1C3OOC1Cc2ccccc21
186,C=C1C(=O)C23C(OC4(C#Cc5ccccc5)Cc5ccccc54)CC4C(C)(C)CCC(OOCC#CCCl)C4(C)C2C(OCCI)CC1C3OCc1coc2ccc(Cl)cc2c1=O
