index,raw material 1,raw material 2,raw material 3,temperature,time
44,0.34,0.31,0.35000000000000003,98.0,130.0
45,0.45,0.09,0.46,45.0,40.0
46,0.48,0.0,0.52,95.0,50.0
47,0.48,0.02,0.5,91.0,50.0
48,0.5,0.24,0.26,79.0,20.0
49,0.8200000000000001,0.03,0.16,73.0,50.0
50,0.41000000000000003,0.23,0.36,48.0,90.0
51,0.52,0.29,0.19,108.0,90.0
52,0.5,0.22,0.29,75.0,60.0
53,0.55,0.24,0.21,62.0,20.0
54,0.51,0.27,0.22,73.0,40.0
55,0.09,0.26,0.65,89.0,90.0
56,0.34,0.17,0.49,44.0,110.0
57,0.44,0.17,0.4,77.0,60.0
58,0.62,0.21,0.17,102.0,30.0
59,0.42,0.37,0.2,76.0,40.0
60,0.68,0.02,0.3,98.0,50.0
61,0.17,0.26,0.56,96.0,100.0
62,0.09,0.58,0.33,41.0,50.0
63,0.2,0.09,0.71,64.0,130.0
64,0.33,0.26,0.41000000000000003,67.0,60.0
65,0.37,0.3,0.33,79.0,60.0
66,0.34,0.16,0.5,46.0,110.0
67,0.27,0.28,0.45,84.0,120.0
68,0.37,0.17,0.46,56.0,80.0
69,0.21,0.31,0.48,79.0,110.0
70,0.56,0.16,0.28,77.0,100.0
71,0.31,0.34,0.35000000000000003,42.0,90.0
72,0.8300000000000001,0.16,0.01,61.0,70.0
73,0.81,0.13,0.06,62.0,70.0
74,0.52,0.32,0.17,66.0,120.0
75,0.32,0.22,0.46,60.0,40.0
76,0.27,0.33,0.4,45.0,90.0
77,0.49,0.27,0.24,64.0,110.0
78,0.46,0.1,0.44,79.0,50.0
79,0.11,0.42,0.47000000000000003,43.0,60.0
80,0.03,0.44,0.53,67.0,80.0
81,0.29,0.2,0.51,83.0,90.0
82,0.35000000000000003,0.59,0.07,88.0,90.0
83,0.59,0.26,0.15,83.0,110.0
84,0.24,0.25,0.51,71.0,90.0
85,0.5,0.28,0.22,97.0,40.0
86,0.36,0.23,0.41000000000000003,95.0,100.0
87,0.42,0.13,0.45,47.0,120.0
88,0.24,0.29,0.46,78.0,50.0
89,0.41000000000000003,0.21,0.38,55.0,50.0
90,0.49,0.05,0.46,73.0,110.0
91,0.17,0.45,0.38,100.0,100.0
92,0.17,0.2,0.63,41.0,80.0
93,0.32,0.32,0.37,95.0,90.0
94,0.51,0.22,0.27,44.0,10.0
95,0.49,0.09,0.42,76.0,80.0
96,0.5700000000000001,0.22,0.2,102.0,60.0
97,0.5,0.23,0.27,89.0,80.0
98,0.16,0.43,0.41000000000000003,72.0,110.0
99,0.28,0.41000000000000003,0.31,82.0,110.0
100,0.24,0.43,0.33,45.0,10.0
101,0.48,0.26,0.25,90.0,90.0
102,0.25,0.11,0.64,98.0,120.0
103,0.08,0.08,0.84,46.0,110.0
104,0.36,0.03,0.6,83.0,120.0
105,0.39,0.58,0.03,58.0,120.0
106,0.26,0.28,0.46,96.0,100.0
107,0.34,0.19,0.47000000000000003,49.0,120.0
108,0.63,0.25,0.12,109.0,30.0
109,0.3,0.52,0.18,52.0,10.0
110,0.61,0.1,0.29,48.0,110.0
111,0.16,0.27,0.5700000000000001,78.0,50.0
112,0.51,0.08,0.41000000000000003,75.0,70.0
113,0.48,0.21,0.3,64.0,90.0
114,0.26,0.52,0.21,84.0,60.0
115,0.6,0.05,0.35000000000000003,77.0,80.0
116,0.43,0.22,0.35000000000000003,105.0,90.0
117,0.55,0.4,0.05,70.0,30.0
118,0.28,0.2,0.52,71.0,80.0
119,0.4,0.27,0.33,95.0,60.0
120,0.25,0.26,0.49,60.0,100.0
121,0.67,0.08,0.25,92.0,130.0
122,0.54,0.32,0.14,64.0,30.0
123,0.7000000000000001,0.12,0.19,105.0,70.0
124,0.36,0.08,0.5700000000000001,73.0,70.0
125,0.39,0.29,0.32,67.0,100.0
126,0.74,0.22,0.04,76.0,30.0
127,0.33,0.34,0.34,92.0,30.0
128,0.58,0.17,0.25,107.0,40.0
129,0.11,0.24,0.65,74.0,80.0
130,0.04,0.21,0.74,47.0,110.0
131,0.45,0.47000000000000003,0.08,69.0,130.0
132,0.32,0.5700000000000001,0.11,65.0,40.0
133,0.6,0.23,0.17,68.0,10.0
134,0.91,0.06,0.04,98.0,10.0
135,0.63,0.2,0.17,106.0,100.0
136,0.6,0.25,0.15,53.0,80.0
137,0.53,0.07,0.4,52.0,130.0
138,0.27,0.36,0.37,100.0,100.0
139,0.52,0.2,0.27,65.0,20.0
140,0.49,0.28,0.23,85.0,130.0
141,0.76,0.17,0.06,60.0,90.0
142,0.54,0.13,0.33,93.0,60.0
143,0.44,0.24,0.32,55.0,60.0
144,0.29,0.23,0.49,83.0,70.0
145,0.13,0.25,0.62,62.0,100.0
146,0.64,0.36,0.0,69.0,70.0
147,0.31,0.16,0.53,68.0,100.0
148,0.54,0.46,0.0,59.0,80.0
149,0.53,0.34,0.13,81.0,110.0
150,0.28,0.15,0.58,104.0,40.0
151,0.64,0.3,0.06,40.0,30.0
152,0.62,0.16,0.22,78.0,130.0
153,0.43,0.12,0.45,77.0,90.0
154,0.41000000000000003,0.22,0.36,58.0,20.0
155,0.78,0.19,0.04,106.0,60.0
156,0.41000000000000003,0.5,0.09,67.0,20.0
157,0.52,0.29,0.19,63.0,30.0
158,0.29,0.18,0.54,47.0,100.0
159,0.72,0.15,0.13,85.0,100.0
160,0.13,0.13,0.74,92.0,10.0
161,0.6,0.33,0.07,77.0,110.0
162,0.45,0.09,0.46,64.0,30.0
163,0.28,0.16,0.56,59.0,40.0
164,0.49,0.16,0.35000000000000003,101.0,100.0
165,0.56,0.08,0.36,67.0,90.0
166,0.24,0.29,0.46,104.0,20.0
167,0.71,0.18,0.11,86.0,60.0
168,0.42,0.36,0.22,106.0,80.0
169,0.15,0.5700000000000001,0.28,109.0,30.0
170,0.42,0.19,0.39,96.0,70.0
171,0.36,0.25,0.39,81.0,110.0
172,0.4,0.04,0.56,106.0,50.0
173,0.33,0.31,0.36,103.0,60.0
174,0.29,0.3,0.41000000000000003,71.0,30.0
175,0.27,0.22,0.52,47.0,30.0
176,0.81,0.18,0.01,79.0,100.0
177,0.45,0.25,0.3,57.0,70.0
178,0.6900000000000001,0.07,0.24,89.0,20.0
179,0.72,0.19,0.09,54.0,80.0
180,0.87,0.11,0.02,81.0,50.0
181,0.31,0.02,0.68,66.0,90.0
182,0.66,0.21,0.14,73.0,10.0
183,0.2,0.05,0.75,69.0,130.0
184,0.1,0.34,0.56,101.0,120.0
185,0.35000000000000003,0.07,0.5700000000000001,63.0,50.0
186,0.35000000000000003,0.54,0.1,97.0,40.0
187,0.36,0.29,0.34,104.0,60.0
188,0.91,0.01,0.07,42.0,20.0
189,0.65,0.16,0.19,103.0,30.0
190,0.14,0.45,0.41000000000000003,68.0,110.0
191,0.61,0.18,0.2,87.0,70.0
192,0.28,0.43,0.29,53.0,130.0
193,0.37,0.27,0.36,91.0,60.0
194,0.71,0.18,0.11,52.0,20.0
195,0.56,0.22,0.22,106.0,20.0
196,0.34,0.31,0.36,81.0,100.0
197,0.33,0.13,0.54,71.0,20.0
198,0.35000000000000003,0.31,0.34,94.0,40.0
199,0.55,0.3,0.15,68.0,90.0
200,0.56,0.3,0.14,87.0,80.0
201,0.2,0.35000000000000003,0.45,91.0,90.0
202,0.74,0.01,0.24,101.0,80.0
203,0.14,0.41000000000000003,0.44,104.0,40.0
204,0.49,0.38,0.14,94.0,50.0
205,0.48,0.13,0.39,98.0,110.0
206,0.55,0.31,0.14,93.0,40.0
207,0.27,0.4,0.33,100.0,60.0
208,0.39,0.36,0.25,107.0,60.0
209,0.05,0.01,0.9400000000000001,91.0,110.0
210,0.4,0.23,0.38,104.0,120.0
211,0.26,0.13,0.6,81.0,60.0
212,0.26,0.4,0.34,71.0,70.0
213,0.42,0.1,0.48,99.0,30.0
214,0.25,0.28,0.47000000000000003,45.0,100.0
215,0.35000000000000003,0.13,0.52,93.0,20.0
216,0.32,0.09,0.59,40.0,10.0
217,0.12,0.44,0.44,76.0,10.0
218,0.15,0.32,0.53,101.0,30.0
219,0.71,0.07,0.22,50.0,50.0
220,0.4,0.02,0.58,62.0,70.0
221,0.65,0.04,0.31,90.0,40.0
222,0.49,0.11,0.39,58.0,60.0
223,0.65,0.23,0.13,49.0,70.0
224,0.49,0.05,0.46,107.0,50.0
225,0.23,0.56,0.21,91.0,60.0
226,0.1,0.1,0.79,80.0,20.0
227,0.18,0.09,0.74,96.0,80.0
228,0.38,0.33,0.29,61.0,90.0
229,0.36,0.34,0.3,41.0,10.0
230,0.5,0.27,0.23,59.0,10.0
231,0.03,0.53,0.44,69.0,130.0
232,0.68,0.16,0.16,82.0,70.0
233,0.78,0.07,0.15,64.0,100.0
234,0.38,0.52,0.1,64.0,10.0
235,0.31,0.32,0.37,65.0,100.0
236,0.63,0.24,0.14,81.0,110.0
237,0.43,0.18,0.38,60.0,70.0
238,0.38,0.06,0.56,95.0,80.0
239,0.23,0.28,0.5,86.0,50.0
240,0.28,0.18,0.53,63.0,70.0
241,0.11,0.18,0.71,66.0,80.0
242,0.39,0.28,0.33,90.0,90.0
243,0.5700000000000001,0.05,0.39,100.0,30.0
244,0.61,0.04,0.35000000000000003,91.0,60.0
245,0.38,0.37,0.25,56.0,60.0
246,0.47000000000000003,0.1,0.43,62.0,50.0
247,0.47000000000000003,0.27,0.26,84.0,100.0
248,0.72,0.11,0.17,53.0,60.0
249,0.52,0.26,0.22,53.0,120.0
250,0.27,0.33,0.41000000000000003,49.0,80.0
251,0.46,0.09,0.45,55.0,120.0
252,0.49,0.23,0.29,61.0,40.0
253,0.68,0.21,0.11,47.0,90.0
254,0.34,0.22,0.44,109.0,10.0
255,0.31,0.55,0.14,51.0,30.0
256,0.54,0.01,0.45,45.0,110.0
257,0.6,0.19,0.22,110.0,30.0
258,0.33,0.23,0.44,101.0,10.0
259,0.17,0.23,0.6,52.0,100.0
260,0.52,0.12,0.36,93.0,130.0
261,0.48,0.36,0.16,58.0,30.0
262,0.36,0.04,0.6,53.0,80.0
263,0.64,0.08,0.29,79.0,120.0
264,0.54,0.35000000000000003,0.11,44.0,10.0
265,0.31,0.51,0.18,54.0,10.0
266,0.36,0.32,0.33,72.0,70.0
267,0.47000000000000003,0.12,0.41000000000000003,103.0,30.0
268,0.4,0.26,0.34,104.0,70.0
269,0.06,0.3,0.64,46.0,90.0
270,0.42,0.25,0.32,102.0,50.0
271,0.44,0.25,0.31,107.0,70.0
272,0.5,0.14,0.36,58.0,90.0
273,0.65,0.25,0.1,89.0,120.0
274,0.73,0.02,0.25,41.0,120.0
275,0.55,0.16,0.29,60.0,50.0
276,0.13,0.1,0.76,87.0,60.0
277,0.66,0.15,0.19,88.0,130.0
278,0.07,0.02,0.91,62.0,70.0
279,0.45,0.02,0.53,71.0,90.0
280,0.4,0.23,0.37,99.0,10.0
281,0.6,0.24,0.16,72.0,60.0
282,0.4,0.19,0.41000000000000003,103.0,50.0
283,0.44,0.36,0.2,70.0,60.0
284,0.4,0.19,0.4,86.0,100.0
285,0.34,0.34,0.32,80.0,20.0
286,0.18,0.01,0.81,61.0,30.0
287,0.61,0.26,0.14,59.0,80.0
288,0.92,0.03,0.04,87.0,130.0
289,0.5700000000000001,0.37,0.06,66.0,40.0
290,0.23,0.41000000000000003,0.35000000000000003,76.0,120.0
291,0.19,0.03,0.78,101.0,90.0
292,0.46,0.1,0.44,101.0,80.0
293,0.21,0.28,0.51,43.0,30.0
294,0.46,0.27,0.27,65.0,40.0
295,0.41000000000000003,0.29,0.29,68.0,90.0
296,0.5,0.31,0.18,44.0,110.0
297,0.63,0.32,0.05,83.0,100.0
298,0.25,0.08,0.67,110.0,90.0
299,0.43,0.2,0.37,62.0,50.0
300,0.44,0.46,0.11,86.0,110.0
301,0.03,0.11,0.87,82.0,30.0
302,0.37,0.35000000000000003,0.28,65.0,20.0
303,0.6,0.34,0.06,92.0,100.0
304,0.42,0.52,0.06,44.0,20.0
305,0.45,0.21,0.34,64.0,90.0
306,0.41000000000000003,0.16,0.43,99.0,80.0
307,0.48,0.02,0.5,46.0,100.0
308,0.42,0.39,0.19,96.0,100.0
309,0.41000000000000003,0.13,0.46,94.0,30.0
310,0.4,0.19,0.41000000000000003,91.0,50.0
311,0.18,0.34,0.49,52.0,70.0
312,0.5,0.15,0.35000000000000003,44.0,100.0
313,0.11,0.51,0.38,73.0,90.0
314,0.17,0.02,0.81,85.0,70.0
315,0.04,0.14,0.8200000000000001,98.0,60.0
316,0.98,0.0,0.02,85.0,10.0
317,0.27,0.22,0.51,56.0,100.0
318,0.16,0.21,0.64,68.0,90.0
319,0.46,0.18,0.36,60.0,70.0
320,0.39,0.31,0.3,109.0,120.0
321,0.2,0.55,0.25,84.0,40.0
322,0.6,0.07,0.33,74.0,90.0
323,0.15,0.27,0.58,72.0,100.0
324,0.36,0.12,0.52,74.0,110.0
325,0.38,0.37,0.25,95.0,50.0
326,0.7000000000000001,0.17,0.13,105.0,130.0
327,0.25,0.37,0.37,97.0,90.0
328,0.37,0.37,0.27,78.0,20.0
329,0.33,0.17,0.5,70.0,110.0
330,0.36,0.24,0.4,88.0,110.0
331,0.47000000000000003,0.03,0.5,79.0,110.0
332,0.63,0.05,0.31,40.0,110.0
333,0.47000000000000003,0.26,0.27,107.0,110.0
334,0.7000000000000001,0.18,0.12,71.0,100.0
335,0.3,0.12,0.59,91.0,40.0
336,0.13,0.34,0.53,80.0,60.0
337,0.37,0.4,0.23,77.0,90.0
338,0.37,0.46,0.17,64.0,20.0
339,0.54,0.24,0.22,79.0,60.0
340,0.58,0.03,0.39,91.0,80.0
341,0.38,0.2,0.43,81.0,130.0
342,0.43,0.38,0.19,44.0,80.0
343,0.23,0.25,0.52,96.0,50.0
344,0.46,0.23,0.31,48.0,120.0
345,0.29,0.25,0.46,62.0,120.0
346,0.54,0.02,0.44,46.0,30.0
347,0.21,0.27,0.52,59.0,20.0
348,0.26,0.41000000000000003,0.33,58.0,100.0
349,0.38,0.24,0.38,91.0,80.0
350,0.25,0.39,0.36,44.0,20.0
351,0.41000000000000003,0.2,0.39,47.0,70.0
352,0.55,0.25,0.2,69.0,10.0
353,0.14,0.47000000000000003,0.39,79.0,10.0
354,0.38,0.17,0.45,110.0,70.0
355,0.32,0.22,0.45,99.0,120.0
356,0.41000000000000003,0.17,0.42,47.0,70.0
357,0.61,0.25,0.14,90.0,10.0
358,0.79,0.15,0.06,91.0,30.0
359,0.47000000000000003,0.1,0.43,103.0,80.0
360,0.58,0.13,0.29,90.0,80.0
361,0.65,0.19,0.16,41.0,20.0
362,0.43,0.43,0.14,90.0,20.0
363,0.15,0.27,0.58,59.0,40.0
364,0.33,0.25,0.41000000000000003,81.0,30.0
365,0.26,0.24,0.51,75.0,20.0
366,0.46,0.48,0.06,54.0,90.0
367,0.63,0.36,0.01,99.0,50.0
368,0.68,0.06,0.26,80.0,70.0
369,0.24,0.12,0.65,66.0,130.0
370,0.43,0.19,0.38,78.0,20.0
371,0.29,0.32,0.39,57.0,20.0
372,0.42,0.16,0.43,62.0,10.0
373,0.27,0.36,0.37,79.0,120.0
374,0.43,0.15,0.42,98.0,100.0
375,0.51,0.3,0.19,61.0,30.0
376,0.34,0.13,0.53,78.0,100.0
377,0.32,0.17,0.5,106.0,80.0
378,0.28,0.26,0.47000000000000003,70.0,30.0
379,0.68,0.27,0.04,88.0,120.0
380,0.14,0.41000000000000003,0.45,85.0,90.0
381,0.76,0.12,0.12,100.0,60.0
382,0.24,0.04,0.72,72.0,40.0
383,0.6900000000000001,0.3,0.01,73.0,30.0
384,0.47000000000000003,0.19,0.34,79.0,100.0
385,0.22,0.29,0.48,63.0,130.0
386,0.21,0.06,0.74,42.0,30.0
387,0.51,0.29,0.2,58.0,50.0
388,0.7000000000000001,0.08,0.23,96.0,100.0
389,0.4,0.32,0.28,94.0,50.0
390,0.2,0.18,0.62,85.0,90.0
391,0.4,0.11,0.48,56.0,50.0
392,0.45,0.09,0.46,107.0,110.0
393,0.18,0.32,0.5,108.0,20.0
394,0.5700000000000001,0.28,0.15,80.0,50.0
395,0.1,0.07,0.8300000000000001,103.0,20.0
396,0.02,0.47000000000000003,0.51,70.0,20.0
397,0.46,0.09,0.44,56.0,40.0
398,0.47000000000000003,0.47000000000000003,0.06,75.0,120.0
399,0.5700000000000001,0.41000000000000003,0.01,51.0,110.0
400,0.42,0.3,0.28,52.0,10.0
401,0.72,0.21,0.07,71.0,90.0
402,0.44,0.31,0.24,95.0,80.0
403,0.25,0.29,0.45,96.0,100.0
404,0.22,0.28,0.5,61.0,70.0
405,0.52,0.22,0.26,68.0,90.0
406,0.39,0.4,0.21,57.0,60.0
407,0.21,0.18,0.61,109.0,40.0
408,0.41000000000000003,0.16,0.43,102.0,40.0
409,0.24,0.04,0.72,51.0,30.0
410,0.73,0.15,0.11,94.0,80.0
411,0.42,0.26,0.32,41.0,120.0
412,0.15,0.27,0.59,65.0,20.0
413,0.49,0.06,0.45,80.0,130.0
414,0.41000000000000003,0.34,0.25,62.0,80.0
415,0.02,0.28,0.7000000000000001,98.0,20.0
416,0.07,0.41000000000000003,0.51,52.0,120.0
417,0.41000000000000003,0.5700000000000001,0.02,48.0,40.0
418,0.44,0.3,0.27,44.0,20.0
419,0.59,0.33,0.08,60.0,50.0
420,0.37,0.2,0.43,76.0,60.0
421,0.36,0.24,0.4,72.0,50.0
422,0.64,0.08,0.28,99.0,60.0
423,0.38,0.03,0.59,92.0,40.0
424,0.3,0.3,0.4,94.0,110.0
425,0.41000000000000003,0.18,0.41000000000000003,74.0,50.0
426,0.11,0.52,0.37,102.0,50.0
427,0.47000000000000003,0.27,0.26,63.0,50.0
428,0.24,0.27,0.48,66.0,40.0
429,0.4,0.05,0.56,42.0,20.0
430,0.43,0.33,0.25,83.0,60.0
431,0.32,0.06,0.62,69.0,70.0
432,0.41000000000000003,0.23,0.36,55.0,30.0
433,0.29,0.5,0.21,51.0,70.0
434,0.16,0.37,0.47000000000000003,69.0,120.0
435,0.34,0.05,0.6,90.0,20.0
436,0.48,0.28,0.24,79.0,40.0
437,0.63,0.03,0.34,106.0,10.0
438,0.31,0.42,0.27,59.0,40.0
439,0.27,0.15,0.58,51.0,10.0
440,0.22,0.19,0.59,85.0,10.0
441,0.25,0.48,0.27,76.0,120.0
442,0.22,0.18,0.59,68.0,10.0
443,0.51,0.29,0.2,80.0,30.0
444,0.16,0.3,0.54,92.0,50.0
445,0.46,0.19,0.34,47.0,70.0
446,0.23,0.41000000000000003,0.36,74.0,40.0
447,0.0,0.48,0.52,61.0,120.0
448,0.53,0.37,0.1,94.0,20.0
449,0.27,0.27,0.46,79.0,90.0
450,0.38,0.11,0.51,67.0,130.0
451,0.54,0.05,0.41000000000000003,44.0,80.0
452,0.6900000000000001,0.19,0.11,89.0,120.0
453,0.25,0.07,0.67,109.0,110.0
454,0.3,0.07,0.63,52.0,120.0
455,0.28,0.14,0.58,44.0,80.0
456,0.32,0.29,0.39,72.0,70.0
457,0.42,0.25,0.33,74.0,50.0
458,0.07,0.26,0.67,97.0,100.0
459,0.03,0.32,0.65,62.0,110.0
460,0.9,0.07,0.03,102.0,10.0
461,0.29,0.39,0.33,66.0,50.0
462,0.61,0.24,0.15,83.0,120.0
463,0.76,0.14,0.1,50.0,20.0
464,0.2,0.39,0.4,67.0,100.0
465,0.58,0.05,0.37,55.0,100.0
466,0.65,0.06,0.3,100.0,50.0
467,0.39,0.18,0.43,74.0,100.0
468,0.42,0.15,0.43,51.0,80.0
469,0.46,0.17,0.37,41.0,130.0
470,0.34,0.21,0.46,88.0,60.0
471,0.11,0.28,0.61,72.0,20.0
472,0.72,0.22,0.06,85.0,60.0
473,0.05,0.33,0.62,90.0,130.0
474,0.61,0.22,0.17,67.0,80.0
475,0.03,0.25,0.71,41.0,50.0
476,0.67,0.06,0.27,52.0,60.0
477,0.62,0.18,0.2,104.0,50.0
478,0.6,0.04,0.35000000000000003,77.0,100.0
479,0.87,0.12,0.01,44.0,30.0
480,0.26,0.3,0.44,106.0,80.0
481,0.61,0.21,0.18,109.0,10.0
482,0.21,0.32,0.47000000000000003,71.0,30.0
483,0.81,0.04,0.15,90.0,70.0
484,0.05,0.45,0.51,93.0,80.0
485,0.54,0.17,0.29,45.0,130.0
486,0.28,0.1,0.63,67.0,110.0
487,0.37,0.41000000000000003,0.22,86.0,70.0
488,0.12,0.22,0.65,72.0,70.0
489,0.34,0.41000000000000003,0.25,89.0,90.0
490,0.4,0.15,0.46,78.0,110.0
491,0.31,0.27,0.42,91.0,60.0
492,0.26,0.32,0.42,94.0,10.0
493,0.55,0.15,0.3,72.0,30.0
494,0.22,0.1,0.68,70.0,20.0
495,0.42,0.14,0.44,40.0,90.0
496,0.43,0.11,0.46,76.0,120.0
497,0.12,0.05,0.8300000000000001,80.0,80.0
498,0.6,0.04,0.36,41.0,40.0
499,0.2,0.28,0.53,107.0,90.0
500,0.07,0.33,0.6,81.0,50.0
501,0.16,0.11,0.73,98.0,70.0
502,0.38,0.18,0.44,95.0,20.0
503,0.67,0.07,0.25,53.0,90.0
504,0.29,0.33,0.38,60.0,30.0
505,0.66,0.15,0.19,80.0,90.0
506,0.56,0.01,0.43,45.0,80.0
507,0.56,0.12,0.32,110.0,10.0
508,0.34,0.36,0.31,60.0,130.0
509,0.53,0.28,0.19,100.0,80.0
510,0.24,0.23,0.53,103.0,50.0
511,0.27,0.13,0.61,72.0,60.0
512,0.44,0.25,0.31,109.0,50.0
513,0.64,0.27,0.09,98.0,30.0
514,0.15,0.37,0.48,96.0,90.0
515,0.19,0.18,0.64,40.0,120.0
516,0.71,0.13,0.16,85.0,70.0
517,0.39,0.04,0.58,52.0,20.0
518,0.54,0.35000000000000003,0.11,73.0,70.0
519,0.38,0.16,0.46,41.0,60.0
520,0.4,0.4,0.2,44.0,20.0
521,0.76,0.04,0.2,78.0,90.0
522,0.5700000000000001,0.34,0.09,51.0,80.0
523,0.46,0.26,0.28,48.0,70.0
524,0.79,0.13,0.08,70.0,90.0
525,0.54,0.29,0.18,90.0,80.0
526,0.34,0.36,0.3,60.0,90.0
527,0.34,0.01,0.65,96.0,90.0
528,0.42,0.1,0.47000000000000003,53.0,30.0
529,0.26,0.53,0.2,107.0,10.0
530,0.04,0.36,0.6,95.0,10.0
531,0.23,0.29,0.47000000000000003,79.0,120.0
532,0.5,0.01,0.49,65.0,110.0
533,0.13,0.29,0.58,45.0,70.0
534,0.54,0.08,0.38,60.0,90.0
535,0.4,0.18,0.42,102.0,110.0
536,0.18,0.3,0.52,108.0,50.0
537,0.63,0.11,0.26,88.0,30.0
538,0.23,0.13,0.64,79.0,120.0
539,0.31,0.14,0.54,48.0,50.0
540,0.5,0.33,0.17,54.0,120.0
541,0.41000000000000003,0.15,0.45,82.0,130.0
542,0.45,0.19,0.36,106.0,70.0
543,0.52,0.23,0.25,68.0,100.0
544,0.28,0.17,0.55,55.0,10.0
545,0.49,0.39,0.12,58.0,60.0
546,0.29,0.38,0.33,76.0,80.0
547,0.34,0.29,0.37,82.0,40.0
548,0.1,0.37,0.53,63.0,70.0
549,0.84,0.13,0.03,91.0,110.0
550,0.45,0.35000000000000003,0.2,70.0,90.0
551,0.45,0.28,0.26,65.0,60.0
552,0.1,0.47000000000000003,0.43,52.0,70.0
553,0.41000000000000003,0.27,0.32,81.0,60.0
554,0.19,0.43,0.38,81.0,110.0
555,0.34,0.32,0.34,108.0,30.0
556,0.61,0.03,0.35000000000000003,49.0,50.0
557,0.59,0.32,0.09,61.0,100.0
558,0.75,0.23,0.03,104.0,40.0
559,0.53,0.19,0.29,91.0,40.0
560,0.41000000000000003,0.35000000000000003,0.24,75.0,90.0
561,0.35000000000000003,0.2,0.46,109.0,30.0
562,0.1,0.37,0.53,79.0,10.0
563,0.58,0.2,0.22,55.0,120.0
564,0.58,0.03,0.39,51.0,120.0
565,0.54,0.36,0.11,44.0,40.0
566,0.4,0.01,0.59,92.0,100.0
567,0.56,0.28,0.16,105.0,110.0
568,0.42,0.18,0.4,63.0,90.0
569,0.31,0.21,0.47000000000000003,107.0,70.0
570,0.34,0.3,0.36,56.0,100.0
571,0.39,0.39,0.22,60.0,130.0
572,0.66,0.08,0.26,78.0,70.0
573,0.36,0.06,0.58,51.0,120.0
574,0.48,0.12,0.39,84.0,50.0
575,0.2,0.28,0.52,101.0,10.0
576,0.39,0.29,0.32,57.0,130.0
577,0.27,0.31,0.42,107.0,40.0
578,0.38,0.39,0.22,63.0,50.0
579,0.4,0.37,0.24,59.0,60.0
580,0.56,0.01,0.42,80.0,40.0
581,0.77,0.22,0.01,52.0,100.0
582,0.62,0.11,0.27,87.0,120.0
583,0.92,0.05,0.03,97.0,110.0
584,0.07,0.22,0.71,95.0,90.0
585,0.53,0.37,0.1,109.0,110.0
586,0.47000000000000003,0.09,0.44,67.0,60.0
587,0.43,0.12,0.45,108.0,60.0
588,0.56,0.08,0.35000000000000003,64.0,60.0
589,0.21,0.34,0.45,60.0,20.0
590,0.33,0.31,0.36,73.0,30.0
591,0.3,0.27,0.43,109.0,40.0
592,0.5,0.24,0.26,103.0,50.0
593,0.63,0.28,0.1,50.0,20.0
594,0.36,0.21,0.43,92.0,90.0
595,0.21,0.31,0.49,96.0,120.0
596,0.7000000000000001,0.14,0.16,110.0,90.0
597,0.28,0.42,0.3,73.0,90.0
598,0.37,0.08,0.55,91.0,100.0
599,0.61,0.22,0.17,52.0,60.0
600,0.13,0.37,0.5,98.0,50.0
601,0.54,0.19,0.27,75.0,90.0
602,0.25,0.15,0.59,91.0,120.0
603,0.43,0.04,0.53,57.0,80.0
604,0.21,0.25,0.54,88.0,20.0
605,0.04,0.44,0.52,49.0,30.0
