raw material 1,raw material 2,raw material 3,temperature,time
0.17,0.26,0.56,96,100
0.09,0.58,0.33,41,50
0.2,0.09,0.71,64,130
0.33,0.26,0.41000000000000003,67,60
0.37,0.3,0.33,79,60
0.34,0.16,0.5,46,110
0.27,0.28,0.45,84,120
0.37,0.17,0.46,56,80
0.21,0.31,0.48,79,110
0.56,0.16,0.28,77,100
0.31,0.34,0.35000000000000003,42,90
0.8300000000000001,0.16,0.01,61,70
0.81,0.13,0.06,62,70
0.52,0.32,0.17,66,120
0.32,0.22,0.46,60,40
0.27,0.33,0.4,45,90
0.49,0.27,0.24,64,110
0.46,0.1,0.44,79,50
0.11,0.42,0.47000000000000003,43,60
0.03,0.44,0.53,67,80
0.29,0.2,0.51,83,90
0.35000000000000003,0.59,0.07,88,90
0.59,0.26,0.15,83,110
0.24,0.25,0.51,71,90
0.5,0.28,0.22,97,40
0.36,0.23,0.41000000000000003,95,100
0.42,0.13,0.45,47,120
0.24,0.29,0.46,78,50
0.41000000000000003,0.21,0.38,55,50
0.49,0.05,0.46,73,110
0.17,0.45,0.38,100,100
0.17,0.2,0.63,41,80
0.32,0.32,0.37,95,90
0.51,0.22,0.27,44,10
0.49,0.09,0.42,76,80
0.5700000000000001,0.22,0.2,102,60
0.5,0.23,0.27,89,80
0.16,0.43,0.41000000000000003,72,110
0.28,0.41000000000000003,0.31,82,110
0.24,0.43,0.33,45,10
0.48,0.26,0.25,90,90
0.25,0.11,0.64,98,120
0.08,0.08,0.84,46,110
0.36,0.03,0.6,83,120
0.39,0.58,0.03,58,120
0.26,0.28,0.46,96,100
0.34,0.19,0.47000000000000003,49,120
0.63,0.25,0.12,109,30
0.3,0.52,0.18,52,10
0.61,0.1,0.29,48,110
0.16,0.27,0.5700000000000001,78,50
0.51,0.08,0.41000000000000003,75,70
0.48,0.21,0.3,64,90
0.26,0.52,0.21,84,60
0.6,0.05,0.35000000000000003,77,80
0.43,0.22,0.35000000000000003,105,90
0.55,0.4,0.05,70,30
0.28,0.2,0.52,71,80
0.4,0.27,0.33,95,60
0.25,0.26,0.49,60,100
0.67,0.08,0.25,92,130
0.54,0.32,0.14,64,30
0.7000000000000001,0.12,0.19,105,70
0.36,0.08,0.5700000000000001,73,70
0.39,0.29,0.32,67,100
0.74,0.22,0.04,76,30
0.33,0.34,0.34,92,30
0.58,0.17,0.25,107,40
0.11,0.24,0.65,74,80
0.04,0.21,0.74,47,110
0.45,0.47000000000000003,0.08,69,130
0.32,0.5700000000000001,0.11,65,40
0.6,0.23,0.17,68,10
0.91,0.06,0.04,98,10
0.63,0.2,0.17,106,100
0.6,0.25,0.15,53,80
0.53,0.07,0.4,52,130
0.27,0.36,0.37,100,100
0.52,0.2,0.27,65,20
0.49,0.28,0.23,85,130
0.76,0.17,0.06,60,90
0.54,0.13,0.33,93,60
0.44,0.24,0.32,55,60
0.29,0.23,0.49,83,70
0.13,0.25,0.62,62,100
0.64,0.36,0.0,69,70
0.31,0.16,0.53,68,100
0.54,0.46,0.0,59,80
0.53,0.34,0.13,81,110
0.28,0.15,0.58,104,40
0.64,0.3,0.06,40,30
0.62,0.16,0.22,78,130
0.43,0.12,0.45,77,90
0.41000000000000003,0.22,0.36,58,20
0.78,0.19,0.04,106,60
0.41000000000000003,0.5,0.09,67,20
0.52,0.29,0.19,63,30
0.29,0.18,0.54,47,100
0.72,0.15,0.13,85,100
0.13,0.13,0.74,92,10
0.6,0.33,0.07,77,110
0.45,0.09,0.46,64,30
0.28,0.16,0.56,59,40
0.49,0.16,0.35000000000000003,101,100
0.56,0.08,0.36,67,90
0.24,0.29,0.46,104,20
0.71,0.18,0.11,86,60
0.42,0.36,0.22,106,80
0.15,0.5700000000000001,0.28,109,30
0.42,0.19,0.39,96,70
0.36,0.25,0.39,81,110
0.4,0.04,0.56,106,50
0.33,0.31,0.36,103,60
0.29,0.3,0.41000000000000003,71,30
0.27,0.22,0.52,47,30
0.81,0.18,0.01,79,100
0.45,0.25,0.3,57,70
0.6900000000000001,0.07,0.24,89,20
0.72,0.19,0.09,54,80
0.87,0.11,0.02,81,50
0.31,0.02,0.68,66,90
0.66,0.21,0.14,73,10
0.2,0.05,0.75,69,130
0.1,0.34,0.56,101,120
0.35000000000000003,0.07,0.5700000000000001,63,50
0.35000000000000003,0.54,0.1,97,40
0.36,0.29,0.34,104,60
0.91,0.01,0.07,42,20
0.65,0.16,0.19,103,30
0.14,0.45,0.41000000000000003,68,110
0.61,0.18,0.2,87,70
0.28,0.43,0.29,53,130
0.37,0.27,0.36,91,60
0.71,0.18,0.11,52,20
0.56,0.22,0.22,106,20
0.34,0.31,0.36,81,100
0.33,0.13,0.54,71,20
0.35000000000000003,0.31,0.34,94,40
0.55,0.3,0.15,68,90
0.56,0.3,0.14,87,80
0.2,0.35000000000000003,0.45,91,90
0.74,0.01,0.24,101,80
0.14,0.41000000000000003,0.44,104,40
0.49,0.38,0.14,94,50
0.48,0.13,0.39,98,110
0.55,0.31,0.14,93,40
0.27,0.4,0.33,100,60
0.39,0.36,0.25,107,60
0.05,0.01,0.9400000000000001,91,110
0.4,0.23,0.38,104,120
0.26,0.13,0.6,81,60
0.26,0.4,0.34,71,70
0.42,0.1,0.48,99,30
0.25,0.28,0.47000000000000003,45,100
0.35000000000000003,0.13,0.52,93,20
0.32,0.09,0.59,40,10
0.12,0.44,0.44,76,10
0.15,0.32,0.53,101,30
0.71,0.07,0.22,50,50
0.4,0.02,0.58,62,70
0.65,0.04,0.31,90,40
0.49,0.11,0.39,58,60
0.65,0.23,0.13,49,70
0.49,0.05,0.46,107,50
0.23,0.56,0.21,91,60
0.1,0.1,0.79,80,20
0.18,0.09,0.74,96,80
0.38,0.33,0.29,61,90
0.36,0.34,0.3,41,10
0.5,0.27,0.23,59,10
0.03,0.53,0.44,69,130
0.68,0.16,0.16,82,70
0.78,0.07,0.15,64,100
0.38,0.52,0.1,64,10
0.31,0.32,0.37,65,100
0.63,0.24,0.14,81,110
0.43,0.18,0.38,60,70
0.38,0.06,0.56,95,80
0.23,0.28,0.5,86,50
0.28,0.18,0.53,63,70
0.11,0.18,0.71,66,80
0.39,0.28,0.33,90,90
0.5700000000000001,0.05,0.39,100,30
0.61,0.04,0.35000000000000003,91,60
0.38,0.37,0.25,56,60
0.47000000000000003,0.1,0.43,62,50
0.47000000000000003,0.27,0.26,84,100
0.72,0.11,0.17,53,60
0.52,0.26,0.22,53,120
0.27,0.33,0.41000000000000003,49,80
0.46,0.09,0.45,55,120
0.49,0.23,0.29,61,40
0.68,0.21,0.11,47,90
0.34,0.22,0.44,109,10
0.31,0.55,0.14,51,30
0.54,0.01,0.45,45,110
0.6,0.19,0.22,110,30
0.33,0.23,0.44,101,10
0.17,0.23,0.6,52,100
0.52,0.12,0.36,93,130
0.48,0.36,0.16,58,30
0.36,0.04,0.6,53,80
0.64,0.08,0.29,79,120
0.54,0.35000000000000003,0.11,44,10
0.31,0.51,0.18,54,10
0.36,0.32,0.33,72,70
0.47000000000000003,0.12,0.41000000000000003,103,30
0.4,0.26,0.34,104,70
0.06,0.3,0.64,46,90
0.42,0.25,0.32,102,50
0.44,0.25,0.31,107,70
0.5,0.14,0.36,58,90
0.65,0.25,0.1,89,120
0.73,0.02,0.25,41,120
0.55,0.16,0.29,60,50
0.13,0.1,0.76,87,60
0.66,0.15,0.19,88,130
0.07,0.02,0.91,62,70
0.45,0.02,0.53,71,90
0.4,0.23,0.37,99,10
0.6,0.24,0.16,72,60
0.4,0.19,0.41000000000000003,103,50
0.44,0.36,0.2,70,60
0.4,0.19,0.4,86,100
0.34,0.34,0.32,80,20
0.18,0.01,0.81,61,30
0.61,0.26,0.14,59,80
0.92,0.03,0.04,87,130
0.5700000000000001,0.37,0.06,66,40
0.23,0.41000000000000003,0.35000000000000003,76,120
0.19,0.03,0.78,101,90
0.46,0.1,0.44,101,80
0.21,0.28,0.51,43,30
0.46,0.27,0.27,65,40
0.41000000000000003,0.29,0.29,68,90
0.5,0.31,0.18,44,110
0.63,0.32,0.05,83,100
0.25,0.08,0.67,110,90
0.43,0.2,0.37,62,50
0.44,0.46,0.11,86,110
0.03,0.11,0.87,82,30
0.37,0.35000000000000003,0.28,65,20
0.6,0.34,0.06,92,100
0.42,0.52,0.06,44,20
0.45,0.21,0.34,64,90
0.41000000000000003,0.16,0.43,99,80
0.48,0.02,0.5,46,100
0.42,0.39,0.19,96,100
0.41000000000000003,0.13,0.46,94,30
0.4,0.19,0.41000000000000003,91,50
0.18,0.34,0.49,52,70
0.5,0.15,0.35000000000000003,44,100
0.11,0.51,0.38,73,90
0.17,0.02,0.81,85,70
0.04,0.14,0.8200000000000001,98,60
0.98,0.0,0.02,85,10
0.27,0.22,0.51,56,100
0.16,0.21,0.64,68,90
0.46,0.18,0.36,60,70
0.39,0.31,0.3,109,120
0.2,0.55,0.25,84,40
0.6,0.07,0.33,74,90
0.15,0.27,0.58,72,100
0.36,0.12,0.52,74,110
0.38,0.37,0.25,95,50
0.7000000000000001,0.17,0.13,105,130
0.25,0.37,0.37,97,90
0.37,0.37,0.27,78,20
0.33,0.17,0.5,70,110
0.36,0.24,0.4,88,110
0.47000000000000003,0.03,0.5,79,110
0.63,0.05,0.31,40,110
0.47000000000000003,0.26,0.27,107,110
0.7000000000000001,0.18,0.12,71,100
0.3,0.12,0.59,91,40
0.13,0.34,0.53,80,60
0.37,0.4,0.23,77,90
0.37,0.46,0.17,64,20
0.54,0.24,0.22,79,60
0.58,0.03,0.39,91,80
0.38,0.2,0.43,81,130
0.43,0.38,0.19,44,80
0.23,0.25,0.52,96,50
0.46,0.23,0.31,48,120
0.29,0.25,0.46,62,120
0.54,0.02,0.44,46,30
0.21,0.27,0.52,59,20
0.26,0.41000000000000003,0.33,58,100
0.38,0.24,0.38,91,80
0.25,0.39,0.36,44,20
0.41000000000000003,0.2,0.39,47,70
0.55,0.25,0.2,69,10
0.14,0.47000000000000003,0.39,79,10
0.38,0.17,0.45,110,70
0.32,0.22,0.45,99,120
0.41000000000000003,0.17,0.42,47,70
0.61,0.25,0.14,90,10
0.79,0.15,0.06,91,30
0.47000000000000003,0.1,0.43,103,80
0.58,0.13,0.29,90,80
0.65,0.19,0.16,41,20
0.43,0.43,0.14,90,20
0.15,0.27,0.58,59,40
0.33,0.25,0.41000000000000003,81,30
0.26,0.24,0.51,75,20
0.46,0.48,0.06,54,90
0.63,0.36,0.01,99,50
0.68,0.06,0.26,80,70
0.24,0.12,0.65,66,130
0.43,0.19,0.38,78,20
0.29,0.32,0.39,57,20
0.42,0.16,0.43,62,10
0.27,0.36,0.37,79,120
0.43,0.15,0.42,98,100
0.51,0.3,0.19,61,30
0.34,0.13,0.53,78,100
0.32,0.17,0.5,106,80
0.28,0.26,0.47000000000000003,70,30
0.68,0.27,0.04,88,120
0.14,0.41000000000000003,0.45,85,90
0.76,0.12,0.12,100,60
0.24,0.04,0.72,72,40
0.6900000000000001,0.3,0.01,73,30
0.47000000000000003,0.19,0.34,79,100
0.22,0.29,0.48,63,130
0.21,0.06,0.74,42,30
0.51,0.29,0.2,58,50
0.7000000000000001,0.08,0.23,96,100
0.4,0.32,0.28,94,50
0.2,0.18,0.62,85,90
0.4,0.11,0.48,56,50
0.45,0.09,0.46,107,110
0.18,0.32,0.5,108,20
0.5700000000000001,0.28,0.15,80,50
0.1,0.07,0.8300000000000001,103,20
0.02,0.47000000000000003,0.51,70,20
0.46,0.09,0.44,56,40
0.47000000000000003,0.47000000000000003,0.06,75,120
0.5700000000000001,0.41000000000000003,0.01,51,110
0.42,0.3,0.28,52,10
0.72,0.21,0.07,71,90
0.44,0.31,0.24,95,80
0.25,0.29,0.45,96,100
0.22,0.28,0.5,61,70
0.52,0.22,0.26,68,90
0.39,0.4,0.21,57,60
0.21,0.18,0.61,109,40
0.41000000000000003,0.16,0.43,102,40
0.24,0.04,0.72,51,30
0.73,0.15,0.11,94,80
0.42,0.26,0.32,41,120
0.15,0.27,0.59,65,20
0.49,0.06,0.45,80,130
0.41000000000000003,0.34,0.25,62,80
0.02,0.28,0.7000000000000001,98,20
0.07,0.41000000000000003,0.51,52,120
0.41000000000000003,0.5700000000000001,0.02,48,40
0.44,0.3,0.27,44,20
0.59,0.33,0.08,60,50
0.37,0.2,0.43,76,60
0.36,0.24,0.4,72,50
0.64,0.08,0.28,99,60
0.38,0.03,0.59,92,40
0.3,0.3,0.4,94,110
0.41000000000000003,0.18,0.41000000000000003,74,50
0.11,0.52,0.37,102,50
0.47000000000000003,0.27,0.26,63,50
0.24,0.27,0.48,66,40
0.4,0.05,0.56,42,20
0.43,0.33,0.25,83,60
0.32,0.06,0.62,69,70
0.41000000000000003,0.23,0.36,55,30
0.29,0.5,0.21,51,70
0.16,0.37,0.47000000000000003,69,120
0.34,0.05,0.6,90,20
0.48,0.28,0.24,79,40
0.63,0.03,0.34,106,10
0.31,0.42,0.27,59,40
0.27,0.15,0.58,51,10
0.22,0.19,0.59,85,10
0.25,0.48,0.27,76,120
0.22,0.18,0.59,68,10
0.51,0.29,0.2,80,30
0.16,0.3,0.54,92,50
0.46,0.19,0.34,47,70
0.23,0.41000000000000003,0.36,74,40
0.0,0.48,0.52,61,120
0.53,0.37,0.1,94,20
0.27,0.27,0.46,79,90
0.38,0.11,0.51,67,130
0.54,0.05,0.41000000000000003,44,80
0.6900000000000001,0.19,0.11,89,120
0.25,0.07,0.67,109,110
0.3,0.07,0.63,52,120
0.28,0.14,0.58,44,80
0.32,0.29,0.39,72,70
0.42,0.25,0.33,74,50
0.07,0.26,0.67,97,100
0.03,0.32,0.65,62,110
0.9,0.07,0.03,102,10
0.29,0.39,0.33,66,50
0.61,0.24,0.15,83,120
0.76,0.14,0.1,50,20
0.2,0.39,0.4,67,100
0.58,0.05,0.37,55,100
0.65,0.06,0.3,100,50
0.39,0.18,0.43,74,100
0.42,0.15,0.43,51,80
0.46,0.17,0.37,41,130
0.34,0.21,0.46,88,60
0.11,0.28,0.61,72,20
0.72,0.22,0.06,85,60
0.05,0.33,0.62,90,130
0.61,0.22,0.17,67,80
0.03,0.25,0.71,41,50
0.67,0.06,0.27,52,60
0.62,0.18,0.2,104,50
0.6,0.04,0.35000000000000003,77,100
0.87,0.12,0.01,44,30
0.26,0.3,0.44,106,80
0.61,0.21,0.18,109,10
0.21,0.32,0.47000000000000003,71,30
0.81,0.04,0.15,90,70
0.05,0.45,0.51,93,80
0.54,0.17,0.29,45,130
0.28,0.1,0.63,67,110
0.37,0.41000000000000003,0.22,86,70
0.12,0.22,0.65,72,70
0.34,0.41000000000000003,0.25,89,90
0.4,0.15,0.46,78,110
0.31,0.27,0.42,91,60
0.26,0.32,0.42,94,10
0.55,0.15,0.3,72,30
0.22,0.1,0.68,70,20
0.42,0.14,0.44,40,90
0.43,0.11,0.46,76,120
0.12,0.05,0.8300000000000001,80,80
0.6,0.04,0.36,41,40
0.2,0.28,0.53,107,90
0.07,0.33,0.6,81,50
0.16,0.11,0.73,98,70
0.38,0.18,0.44,95,20
0.67,0.07,0.25,53,90
0.29,0.33,0.38,60,30
0.66,0.15,0.19,80,90
0.56,0.01,0.43,45,80
0.56,0.12,0.32,110,10
0.34,0.36,0.31,60,130
0.53,0.28,0.19,100,80
0.24,0.23,0.53,103,50
0.27,0.13,0.61,72,60
0.44,0.25,0.31,109,50
0.64,0.27,0.09,98,30
0.15,0.37,0.48,96,90
0.19,0.18,0.64,40,120
0.71,0.13,0.16,85,70
0.39,0.04,0.58,52,20
0.54,0.35000000000000003,0.11,73,70
0.38,0.16,0.46,41,60
0.4,0.4,0.2,44,20
0.76,0.04,0.2,78,90
0.5700000000000001,0.34,0.09,51,80
0.46,0.26,0.28,48,70
0.79,0.13,0.08,70,90
0.54,0.29,0.18,90,80
0.34,0.36,0.3,60,90
0.34,0.01,0.65,96,90
0.42,0.1,0.47000000000000003,53,30
0.26,0.53,0.2,107,10
0.04,0.36,0.6,95,10
0.23,0.29,0.47000000000000003,79,120
0.5,0.01,0.49,65,110
0.13,0.29,0.58,45,70
0.54,0.08,0.38,60,90
0.4,0.18,0.42,102,110
0.18,0.3,0.52,108,50
0.63,0.11,0.26,88,30
0.23,0.13,0.64,79,120
0.31,0.14,0.54,48,50
0.5,0.33,0.17,54,120
0.41000000000000003,0.15,0.45,82,130
0.45,0.19,0.36,106,70
0.52,0.23,0.25,68,100
0.28,0.17,0.55,55,10
0.49,0.39,0.12,58,60
0.29,0.38,0.33,76,80
0.34,0.29,0.37,82,40
0.1,0.37,0.53,63,70
0.84,0.13,0.03,91,110
0.45,0.35000000000000003,0.2,70,90
0.45,0.28,0.26,65,60
0.1,0.47000000000000003,0.43,52,70
0.41000000000000003,0.27,0.32,81,60
0.19,0.43,0.38,81,110
0.34,0.32,0.34,108,30
0.61,0.03,0.35000000000000003,49,50
0.59,0.32,0.09,61,100
0.75,0.23,0.03,104,40
0.53,0.19,0.29,91,40
0.41000000000000003,0.35000000000000003,0.24,75,90
0.35000000000000003,0.2,0.46,109,30
0.1,0.37,0.53,79,10
0.58,0.2,0.22,55,120
0.58,0.03,0.39,51,120
0.54,0.36,0.11,44,40
0.4,0.01,0.59,92,100
0.56,0.28,0.16,105,110
0.42,0.18,0.4,63,90
0.31,0.21,0.47000000000000003,107,70
0.34,0.3,0.36,56,100
0.39,0.39,0.22,60,130
0.66,0.08,0.26,78,70
0.36,0.06,0.58,51,120
0.48,0.12,0.39,84,50
0.2,0.28,0.52,101,10
0.39,0.29,0.32,57,130
0.27,0.31,0.42,107,40
0.38,0.39,0.22,63,50
0.4,0.37,0.24,59,60
0.56,0.01,0.42,80,40
0.77,0.22,0.01,52,100
0.62,0.11,0.27,87,120
0.92,0.05,0.03,97,110
0.07,0.22,0.71,95,90
0.53,0.37,0.1,109,110
0.47000000000000003,0.09,0.44,67,60
0.43,0.12,0.45,108,60
0.56,0.08,0.35000000000000003,64,60
0.21,0.34,0.45,60,20
0.33,0.31,0.36,73,30
0.3,0.27,0.43,109,40
0.5,0.24,0.26,103,50
0.63,0.28,0.1,50,20
0.36,0.21,0.43,92,90
0.21,0.31,0.49,96,120
0.7000000000000001,0.14,0.16,110,90
0.28,0.42,0.3,73,90
0.37,0.08,0.55,91,100
0.61,0.22,0.17,52,60
0.13,0.37,0.5,98,50
0.54,0.19,0.27,75,90
0.25,0.15,0.59,91,120
0.43,0.04,0.53,57,80
0.21,0.25,0.54,88,20
0.04,0.44,0.52,49,30
0.33,0.09,0.5700000000000001,64,130
0.63,0.31,0.06,101,70
0.52,0.02,0.47000000000000003,81,60
0.27,0.23,0.5,97,10
0.54,0.13,0.33,60,130
0.38,0.2,0.42,99,90
0.4,0.24,0.37,71,120
0.26,0.3,0.44,49,110
0.67,0.08,0.24,87,120
0.11,0.39,0.5,67,80
0.26,0.28,0.46,53,70
0.5700000000000001,0.16,0.26,58,130
0.32,0.26,0.42,78,40
0.15,0.18,0.66,54,40
0.2,0.58,0.23,101,80
0.51,0.44,0.05,85,30
0.62,0.12,0.26,102,70
0.33,0.24,0.43,54,100
0.64,0.26,0.1,62,40
0.24,0.27,0.49,73,100
0.8200000000000001,0.11,0.07,41,50
0.25,0.38,0.37,61,110
0.52,0.08,0.41000000000000003,105,70
0.41000000000000003,0.34,0.25,74,130
0.66,0.16,0.18,66,40
0.34,0.29,0.37,48,30
0.49,0.08,0.43,74,60
0.12,0.59,0.29,99,60
0.33,0.31,0.37,54,30
0.32,0.25,0.42,49,100
0.4,0.12,0.48,58,60
0.5700000000000001,0.25,0.19,51,50
0.63,0.27,0.1,102,10
0.51,0.48,0.01,103,100
0.65,0.02,0.33,69,90
0.4,0.21,0.4,76,70
0.42,0.25,0.33,50,120
0.15,0.29,0.56,91,100
0.88,0.0,0.12,60,90
0.44,0.51,0.06,67,30
0.9,0.0,0.1,107,20
0.39,0.17,0.44,70,90
0.08,0.1,0.8200000000000001,99,20
0.84,0.05,0.11,73,60
0.37,0.22,0.42,107,90
0.71,0.23,0.05,71,70
0.74,0.23,0.02,69,120
0.47000000000000003,0.31,0.22,66,90
0.53,0.2,0.27,65,30
0.43,0.21,0.35000000000000003,85,80
0.67,0.03,0.3,51,70
0.73,0.11,0.17,43,20
0.37,0.21,0.41000000000000003,93,100
0.59,0.34,0.07,43,40
0.55,0.06,0.39,76,110
0.68,0.15,0.17,100,80
0.46,0.23,0.32,60,10
0.4,0.26,0.33,95,50
0.42,0.28,0.3,100,110
0.63,0.09,0.28,95,60
0.49,0.15,0.36,109,40
0.32,0.2,0.47000000000000003,88,90
0.33,0.45,0.21,87,30
0.56,0.09,0.35000000000000003,47,100
0.81,0.07,0.12,79,50
0.59,0.32,0.09,51,20
0.47000000000000003,0.17,0.36,50,100
0.32,0.45,0.24,97,10
0.47000000000000003,0.3,0.24,41,100
0.45,0.2,0.35000000000000003,67,30
0.25,0.36,0.4,89,90
0.45,0.23,0.32,54,120
0.34,0.45,0.22,43,70
0.45,0.13,0.41000000000000003,47,10
0.15,0.43,0.43,68,50
0.42,0.29,0.29,46,40
0.16,0.12,0.72,58,80
0.56,0.08,0.35000000000000003,93,10
0.41000000000000003,0.34,0.25,99,90
0.52,0.25,0.22,70,50
0.29,0.31,0.4,42,30
0.48,0.08,0.44,93,90
0.62,0.27,0.1,75,90
0.8,0.09,0.1,92,80
0.05,0.5700000000000001,0.37,45,90
0.37,0.27,0.36,94,40
0.75,0.15,0.1,93,90
0.64,0.05,0.31,60,50
0.42,0.44,0.13,87,60
0.73,0.18,0.09,76,40
0.42,0.25,0.32,88,10
0.55,0.26,0.19,86,30
0.6,0.21,0.19,94,60
0.6900000000000001,0.14,0.17,109,10
0.45,0.17,0.38,94,120
0.21,0.26,0.53,89,90
0.48,0.24,0.28,91,60
0.37,0.19,0.45,69,50
0.07,0.39,0.55,100,120
0.49,0.03,0.48,48,70
0.6,0.11,0.29,80,60
0.41000000000000003,0.21,0.38,70,60
0.39,0.08,0.53,47,110
0.43,0.25,0.32,87,90
0.28,0.24,0.49,96,80
0.66,0.0,0.34,40,100
0.6,0.03,0.37,82,80
0.23,0.31,0.46,76,40
0.42,0.2,0.38,99,20
0.39,0.15,0.46,56,40
0.43,0.02,0.55,42,60
0.6,0.27,0.13,108,110
0.45,0.02,0.53,103,80
0.37,0.23,0.39,91,40
0.26,0.21,0.52,72,20
0.29,0.34,0.36,46,100
0.61,0.06,0.33,49,40
0.45,0.18,0.37,88,80
0.01,0.49,0.5,52,90
0.39,0.11,0.51,46,50
0.28,0.32,0.4,69,10
0.32,0.25,0.43,68,70
0.23,0.22,0.56,65,20
0.04,0.33,0.63,53,110
0.25,0.58,0.17,43,30
0.39,0.26,0.35000000000000003,51,60
0.37,0.58,0.05,104,60
0.32,0.02,0.67,74,50
0.71,0.25,0.04,88,110
0.44,0.47000000000000003,0.1,93,20
0.47000000000000003,0.25,0.28,65,60
0.23,0.12,0.66,71,40
0.09,0.22,0.6900000000000001,83,110
0.56,0.2,0.23,71,120
0.38,0.2,0.41000000000000003,59,80
0.12,0.27,0.61,88,10
0.13,0.11,0.75,60,80
0.46,0.26,0.28,86,100
0.45,0.15,0.39,66,100
0.06,0.44,0.51,73,40
0.5700000000000001,0.33,0.1,88,120
0.39,0.32,0.28,61,10
0.19,0.43,0.38,102,110
0.45,0.13,0.42,73,30
0.42,0.18,0.41000000000000003,78,70
0.77,0.18,0.04,74,120
0.19,0.56,0.25,79,100
0.39,0.23,0.38,95,130
0.68,0.02,0.31,53,50
0.76,0.14,0.1,79,60
0.39,0.23,0.38,104,40
0.32,0.16,0.52,79,100
0.53,0.02,0.46,103,130
0.52,0.03,0.46,61,50
0.6,0.07,0.32,66,40
0.2,0.15,0.65,72,60
0.34,0.23,0.43,55,110
0.25,0.32,0.43,46,20
0.14,0.26,0.61,75,50
0.45,0.16,0.39,101,20
0.61,0.25,0.15,68,90
0.43,0.45,0.12,95,100
0.04,0.41000000000000003,0.55,87,10
0.56,0.25,0.19,44,110
0.29,0.47000000000000003,0.24,50,30
0.38,0.16,0.46,86,30
0.16,0.3,0.54,47,130
0.43,0.18,0.39,54,80
0.48,0.29,0.23,58,20
0.53,0.4,0.08,81,60
0.47000000000000003,0.23,0.3,73,100
0.27,0.58,0.15,44,80
0.32,0.6,0.09,109,10
0.31,0.25,0.45,46,30
0.12,0.28,0.6,104,80
0.59,0.09,0.32,68,110
0.08,0.13,0.79,91,10
0.67,0.08,0.24,80,120
0.23,0.33,0.44,80,40
0.06,0.27,0.67,77,130
0.81,0.16,0.03,80,10
0.34,0.13,0.53,78,90
0.51,0.15,0.34,57,50
0.61,0.23,0.15,69,10
0.34,0.06,0.6,62,10
0.54,0.06,0.39,44,70
0.4,0.28,0.31,73,10
0.33,0.35000000000000003,0.33,94,30
0.43,0.23,0.34,76,30
0.39,0.31,0.29,51,60
0.33,0.17,0.5,91,30
0.17,0.25,0.58,102,110
0.25,0.03,0.72,41,30
0.28,0.28,0.44,79,60
0.43,0.26,0.31,109,80
0.43,0.3,0.27,106,120
0.42,0.28,0.31,87,60
0.51,0.19,0.3,58,50
0.12,0.17,0.71,74,80
0.44,0.33,0.23,73,110
0.65,0.1,0.25,97,10
0.36,0.55,0.09,47,10
0.53,0.46,0.01,95,50
0.68,0.13,0.19,92,30
0.24,0.27,0.48,80,120
0.46,0.28,0.26,108,110
0.34,0.2,0.47000000000000003,86,90
0.13,0.25,0.62,96,10
0.58,0.19,0.23,81,130
0.4,0.22,0.38,49,70
0.59,0.31,0.1,54,90
0.32,0.33,0.34,72,10
0.58,0.07,0.36,85,120
0.22,0.51,0.27,88,40
0.26,0.38,0.36,50,130
0.25,0.12,0.62,61,100
